Bogota Financial PE Ratio Historical Data,Bogota Financial PE Ratio Historical Data,Bogota Financial PE Ratio Historical Data,Bogota Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.73,,0.0
2024-09-30,8.29,$-0.16,0.0
2024-06-30,6.73,$-0.15,0.0
2024-03-31,7.08,$-0.05,0.0
2023-12-31,8.05,$0.06,134.17
2023-09-30,7.39,$0.29,25.48
2023-06-30,8.16,$0.43,18.98
2023-03-31,10.0,$0.48,20.83
2022-12-31,11.18,$0.50,22.36
2022-09-30,11.02,$0.50,22.04
2022-06-30,11.21,$0.43,26.07
2022-03-31,10.72,$0.41,26.15
2021-12-31,10.18,$0.54,18.85
2021-09-30,10.31,$0.48,21.48
2021-06-30,10.18,$0.49,20.78
2021-03-31,10.26,$0.50,20.52
2020-12-31,8.91,$0.14,63.64
