Platinum Group Metals PE Ratio Historical Data,Platinum Group Metals PE Ratio Historical Data,Platinum Group Metals PE Ratio Historical Data,Platinum Group Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-11-30,1.73,$-0.06,0.0
2024-08-31,1.28,$-0.06,0.0
2024-05-31,1.89,$-0.07,0.0
2024-02-29,0.98,$-0.06,0.0
2023-11-30,1.16,$-0.06,0.0
2023-08-31,1.22,$-0.06,0.0
2023-05-31,1.4,$-0.05,0.0
2023-02-28,1.43,$-0.05,0.0
2022-11-30,1.8,$-0.07,0.0
2022-08-31,1.49,$-0.09,0.0
2022-05-31,1.76,$-0.14,0.0
2022-02-28,2.0,$-0.16,0.0
2021-11-30,2.14,$-0.19,0.0
2021-08-31,2.68,$-0.19,0.0
2021-05-31,4.36,$-0.15,0.0
2021-02-28,3.98,$-0.17,0.0
2020-11-30,2.6,$-0.16,0.0
2020-08-31,2.37,$-0.11,0.0
2020-05-31,1.5,$-0.19,0.0
2020-02-29,1.87,$-0.25,0.0
2019-11-30,1.35,$-0.33,0.0
2019-08-31,1.99,$-0.36,0.0
2019-05-31,1.31,$-0.36,0.0
2019-02-28,1.69,$-0.85,0.0
2018-11-30,1.54,$-1.62,0.0
2018-08-31,1.02,$-2.40,0.0
2018-05-31,1.17,$-22.80,0.0
2018-02-28,3.45,$-35.90,0.0
2017-11-30,3.3,$-38.90,0.0
2017-08-31,6.48,$-38.40,0.0
2017-05-31,10.7,$-20.00,0.0
2017-02-28,16.8,$-6.20,0.0
2016-11-30,15.5,$-2.50,0.0
2016-08-31,27.6,$-2.20,0.0
2016-05-31,29.0,$-0.10,0.0
2016-02-29,19.5,$-0.20,0.0
2015-11-30,21.71,$1.00,21.71
2015-08-31,28.61,0,0.0
2015-05-31,42.72,$-1.00,0.0
2015-02-28,54.0,$-2.00,0.0
2014-11-30,63.0,$-4.00,0.0
2014-08-31,107.0,$-3.00,0.0
2014-05-31,106.0,$-3.00,0.0
2014-02-28,115.0,$-5.00,0.0
2013-11-30,131.0,$-4.00,0.0
2013-08-31,111.0,$-5.00,0.0
2013-05-31,101.0,$-6.00,0.0
2013-02-28,141.0,$-4.00,0.0
2012-11-30,97.48,$-4.00,0.0
2012-08-31,78.99,$-6.00,0.0
2012-05-31,121.0,$-5.00,0.0
2012-02-29,143.0,$-5.00,0.0
2011-11-30,106.0,$-7.00,0.0
2011-08-31,133.0,$-7.00,0.0
2011-05-31,208.0,$-10.00,0.0
2011-02-28,251.0,$34.00,7.38
2010-11-30,199.0,$36.00,5.53
2010-08-31,177.0,$40.00,4.43
2010-05-31,214.0,$42.00,5.1
2010-02-28,195.0,$-8.00,0.0
2009-11-30,164.0,$-13.00,0.0
