Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.47,,15.36
2024-09-30,87.16,$5.89,14.8
2024-06-30,83.5,$5.91,14.13
2024-03-31,93.69,$5.68,16.5
2023-12-31,91.23,$5.28,17.28
2023-09-30,74.01,$5.55,13.33
2023-06-30,78.6,$5.08,15.47
2023-03-31,74.47,$4.86,15.32
2022-12-31,62.82,$4.53,13.87
2022-09-30,52.87,$4.14,12.77
2022-06-30,50.06,$3.92,12.77
2022-03-31,48.57,$3.61,13.45
2021-12-31,48.43,$3.68,13.16
2021-09-30,48.63,$3.08,15.79
2021-06-30,45.74,$2.80,16.34
2021-03-31,38.9,$2.44,15.94
2020-12-31,38.81,$2.31,16.8
2020-09-30,33.21,$2.07,16.04
2020-06-30,35.76,$2.53,14.14
2020-03-31,32.0,$2.97,10.77
2019-12-31,48.21,$3.00,16.07
2019-09-30,47.42,$3.83,12.38
2019-06-30,48.61,$3.66,13.28
2019-03-31,51.63,$3.48,14.84
2018-12-31,47.59,$3.45,13.79
2018-09-30,47.22,$-3.97,0.0
2018-06-30,43.51,$-4.79,0.0
2018-03-31,50.53,$-4.90,0.0
2017-12-31,52.96,$-4.11,0.0
2017-09-30,57.92,$2.83,20.47
2017-06-30,63.58,$3.41,18.65
2017-03-31,53.2,$3.37,15.79
2016-12-31,47.14,$2.61,18.06
2016-09-30,55.03,$2.63,20.93
2016-06-30,60.88,$2.63,23.15
2016-03-31,60.29,$2.93,20.58
2015-12-31,51.41,$2.98,17.25
2015-09-30,49.77,$3.09,16.11
2015-06-30,56.99,$3.70,15.4
2015-03-31,56.57,$3.86,14.65
2014-12-31,61.28,$4.02,15.24
2014-09-30,70.63,$4.16,16.98
2014-06-30,79.68,$4.08,19.53
2014-03-31,73.24,$4.16,17.61
2013-12-31,84.52,$4.29,19.7
2013-09-30,86.67,$4.83,17.94
2013-06-30,96.52,$5.07,19.04
2013-03-31,111.85,$4.98,22.46
2012-12-31,101.79,$5.01,20.32
2012-09-30,88.1,$4.64,18.99
2012-06-30,89.39,$4.22,21.18
2012-03-31,71.07,$4.45,15.97
2011-12-31,63.89,$4.48,14.26
2011-09-30,59.54,$4.55,13.09
2011-06-30,62.41,$4.54,13.75
2011-03-31,50.38,$4.37,11.53
2010-12-31,53.94,$4.32,12.49
2010-09-30,51.19,$4.13,12.39
2010-06-30,40.96,$4.09,10.01
2010-03-31,42.78,$3.93,10.88
2009-12-31,42.31,$4.94,8.56
