Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data,Robert Half PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.84,,22.07
2024-12-31,70.46,$2.44,28.88
2024-09-30,66.94,$2.74,24.43
2024-06-30,63.01,$3.00,21.0
2024-03-31,77.47,$3.34,23.19
2023-12-31,85.34,$3.87,22.05
2023-09-30,70.71,$4.41,16.03
2023-06-30,72.12,$5.04,14.31
2023-03-31,76.7,$5.64,13.6
2022-12-31,69.87,$6.02,11.61
2022-09-30,71.99,$6.16,11.69
2022-06-30,70.09,$6.16,11.38
2022-03-31,106.33,$5.89,18.05
2021-12-31,103.48,$5.35,19.34
2021-09-30,92.79,$4.68,19.83
2021-06-30,81.98,$3.82,21.46
2021-03-31,71.63,$2.90,24.7
2020-12-31,57.06,$2.71,21.06
2020-09-30,48.1,$2.85,16.88
2020-06-30,47.71,$3.19,14.96
2020-03-31,33.85,$3.76,9.0
2019-12-31,56.29,$3.90,14.43
2019-09-30,49.35,$3.87,12.75
2019-06-30,50.26,$3.81,13.19
2019-03-31,57.13,$3.72,15.36
2018-12-31,49.93,$3.57,13.98
2018-09-30,61.14,$3.00,20.38
2018-06-30,56.35,$2.73,20.64
2018-03-31,49.89,$2.48,20.12
2017-12-31,47.63,$2.32,20.53
2017-09-30,42.98,$2.55,16.86
2017-06-30,40.7,$2.58,15.78
2017-03-31,41.25,$2.65,15.57
2016-12-31,41.0,$2.67,15.36
2016-09-30,31.67,$2.77,11.43
2016-06-30,31.74,$2.79,11.38
2016-03-31,38.52,$2.75,14.01
2015-12-31,38.77,$2.69,14.41
2015-09-30,41.91,$2.60,16.12
2015-06-30,45.3,$2.50,18.12
2015-03-31,49.22,$2.38,20.68
2014-12-31,47.33,$2.25,21.04
2014-09-30,39.6,$2.12,18.68
2014-06-30,38.44,$1.97,19.51
2014-03-31,33.64,$1.88,17.9
2013-12-31,33.53,$1.83,18.32
2013-09-30,31.03,$1.76,17.63
2013-06-30,26.31,$1.69,15.57
2013-03-31,29.58,$1.55,19.08
2012-12-31,24.96,$1.49,16.75
2012-09-30,20.78,$1.37,15.17
2012-06-30,22.17,$1.27,17.46
2012-03-31,23.39,$1.20,19.49
2011-12-31,21.86,$1.04,21.02
2011-09-30,16.21,$0.91,17.81
2011-06-30,20.52,$0.74,27.73
2011-03-31,23.11,$0.57,40.54
2010-12-31,23.0,$0.44,52.28
2010-09-30,19.45,$0.36,54.04
2010-06-30,17.52,$0.28,62.56
2010-03-31,22.52,$0.23,97.91
2009-12-31,19.69,$0.24,82.03
