Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,124.6,,19.72
2025-01-31,150.56,$6.32,23.82
2024-10-31,139.39,$6.35,21.95
2024-07-31,142.55,$6.20,22.99
2024-04-30,128.6,$5.93,21.69
2024-01-31,138.91,$5.56,24.98
2023-10-31,114.54,$5.05,22.68
2023-07-31,112.92,$4.72,23.92
2023-04-30,104.79,$4.51,23.23
2023-01-31,115.67,$4.39,26.35
2022-10-31,93.4,$4.12,22.67
2022-07-31,79.03,$4.21,18.77
2022-04-30,96.67,$4.49,21.53
2022-01-31,94.37,$4.86,19.42
2021-10-31,109.01,$4.49,24.28
2021-07-31,117.86,$3.77,31.26
2021-04-30,125.48,$2.44,51.43
2021-01-31,106.41,$0.23,462.65
2020-10-31,81.44,$0.84,96.95
2020-07-31,85.74,$1.50,57.16
2020-04-30,87.35,$2.58,33.86
2020-01-31,106.86,$4.60,23.23
2019-10-31,104.22,$4.52,23.06
2019-07-31,100.53,$4.40,22.85
2019-04-30,92.35,$4.30,21.48
2019-01-31,87.11,$4.26,20.45
2018-10-31,93.36,$4.25,21.97
2018-07-31,82.26,$4.06,20.26
2018-04-30,75.87,$3.84,19.76
2018-01-31,77.09,$3.55,21.72
2017-10-31,59.28,$3.13,18.94
2017-07-31,51.51,$3.03,17.0
2017-04-30,60.38,$2.92,20.68
2017-01-31,61.26,$2.83,21.65
2016-10-31,57.84,$2.72,21.26
2016-07-31,57.05,$2.63,21.69
2016-04-30,52.26,$2.55,20.49
2016-01-31,51.66,$2.51,20.62
2015-10-31,46.34,$2.45,18.95
2015-07-31,48.59,$2.38,20.42
2015-04-30,45.08,$2.32,19.43
2015-01-31,41.72,$2.21,18.88
2014-10-31,36.64,$2.12,17.28
2014-07-31,29.15,$2.06,14.19
2014-04-30,30.73,$1.98,15.56
2014-01-31,30.57,$1.94,15.8
2013-10-31,34.74,$1.96,17.72
2013-07-31,30.23,$1.92,15.75
2013-04-30,29.52,$1.84,16.09
2013-01-31,26.6,$1.77,15.07
2012-10-31,27.09,$1.66,16.37
2012-07-31,29.47,$1.61,18.3
2012-04-30,27.22,$1.53,17.85
2012-01-31,22.43,$1.43,15.68
2011-10-31,19.31,$1.35,14.33
2011-07-31,16.63,$1.29,12.92
2011-04-30,16.13,$1.24,13.06
2011-01-31,14.23,$1.16,12.32
2010-10-31,12.84,$1.10,11.65
2010-07-31,11.42,$1.06,10.8
2010-04-30,12.11,$1.00,12.18
2010-01-31,9.9,$0.89,11.19
2009-10-31,9.46,$0.79,12.06
