Movado Group PE Ratio Historical Data,Movado Group PE Ratio Historical Data,Movado Group PE Ratio Historical Data,Movado Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.97,,17.28
2024-10-31,18.16,$1.04,17.46
2024-07-31,25.01,$1.59,15.73
2024-04-30,24.26,$1.79,13.55
2024-01-31,25.94,$2.06,12.59
2023-10-31,25.87,$2.53,10.23
2023-07-31,26.32,$3.04,8.66
2023-04-30,23.19,$3.73,6.22
2023-01-31,30.44,$4.12,7.39
2022-10-31,28.16,$4.45,6.33
2022-07-31,28.61,$4.50,6.36
2022-04-30,29.98,$4.27,7.02
2022-01-31,30.61,$3.88,7.89
2021-10-31,27.34,$3.84,7.12
2021-07-31,24.54,$3.14,7.81
2021-04-30,25.43,$2.04,12.47
2021-01-31,16.63,$-4.84,0.0
2020-10-31,8.74,$-5.98,0.0
2020-07-31,7.72,$-5.85,0.0
2020-04-30,8.26,$-4.82,0.0
2020-01-31,13.8,$1.83,7.54
2019-10-31,20.65,$2.42,8.53
2019-07-31,20.7,$2.80,7.39
2019-04-30,27.81,$2.44,11.4
2019-01-31,24.78,$2.62,9.46
2018-10-31,29.68,$0.41,72.39
2018-07-31,38.21,$0.02,1910.6
2018-04-30,30.15,$-0.13,0.0
2018-01-31,23.27,$-0.66,0.0
2017-10-31,20.97,$1.03,20.36
2017-07-31,18.54,$1.15,16.12
2017-04-30,17.53,$1.18,14.86
2017-01-31,20.23,$1.50,13.49
2016-10-31,16.35,$1.62,10.1
2016-07-31,16.66,$1.67,9.98
2016-04-30,20.67,$1.90,10.88
2016-01-31,18.74,$1.91,9.81
2015-10-31,18.69,$1.97,9.49
2015-07-31,18.33,$1.92,9.54
2015-04-30,21.1,$1.89,11.16
2015-01-31,17.26,$2.03,8.5
2014-10-31,25.26,$1.91,13.22
2014-07-31,29.21,$1.93,15.13
2014-04-30,27.96,$1.94,14.41
2014-01-31,26.81,$1.97,13.61
2013-10-31,33.05,$2.00,16.53
2013-07-31,25.81,$2.45,10.53
2013-04-30,21.36,$2.29,9.33
2013-01-31,25.79,$2.23,11.56
2012-10-31,21.85,$2.34,9.34
2012-07-31,16.14,$1.65,9.78
2012-04-30,19.48,$1.51,12.9
2012-01-31,12.41,$1.27,9.77
2011-10-31,11.26,$-0.41,0.0
2011-07-31,10.87,$-0.38,0.0
2011-04-30,11.19,$-1.36,0.0
2011-01-31,9.64,$-1.81,0.0
2010-10-31,7.52,$-1.51,0.0
2010-07-31,7.6,$-3.04,0.0
2010-04-30,8.3,$-2.22,0.0
2010-01-31,7.31,$-2.16,0.0
2009-10-31,7.01,$-2.12,0.0
