York Water PE Ratio Historical Data,York Water PE Ratio Historical Data,York Water PE Ratio Historical Data,York Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.04,,23.97
2024-12-31,32.72,$1.42,23.04
2024-09-30,37.46,$1.48,25.31
2024-06-30,36.88,$1.60,23.05
2024-03-31,35.86,$1.70,21.1
2023-12-31,37.96,$1.66,22.87
2023-09-30,36.65,$1.59,23.05
2023-06-30,40.13,$1.46,27.49
2023-03-31,43.25,$1.37,31.57
2022-12-31,43.32,$1.40,30.94
2022-09-30,36.85,$1.36,27.09
2022-06-30,38.57,$1.32,29.22
2022-03-31,42.69,$1.31,32.59
2021-12-31,47.05,$1.30,36.19
2021-09-30,41.12,$1.27,32.38
2021-06-30,42.47,$1.27,33.44
2021-03-31,45.72,$1.24,36.87
2020-12-31,43.32,$1.27,34.11
2020-09-30,39.14,$1.25,31.31
2020-06-30,44.22,$1.24,35.66
2020-03-31,39.92,$1.20,33.26
2019-12-31,42.17,$1.11,37.99
2019-09-30,39.78,$1.14,34.89
2019-06-30,32.42,$1.08,30.01
2019-03-31,30.99,$1.06,29.24
2018-12-31,28.81,$1.04,27.7
2018-09-30,27.17,$1.02,26.64
2018-06-30,28.27,$1.04,27.18
2018-03-31,27.42,$1.01,27.15
2017-12-31,29.81,$1.01,29.51
2017-09-30,29.67,$0.97,30.58
2017-06-30,30.36,$0.93,32.64
2017-03-31,30.39,$0.93,32.68
2016-12-31,32.98,$0.92,35.85
2016-09-30,25.5,$0.96,26.56
2016-06-30,27.4,$0.97,28.25
2016-03-31,25.98,$0.96,27.06
2015-12-31,21.11,$0.97,21.76
2015-09-30,17.69,$0.98,18.05
2015-06-30,17.43,$0.93,18.74
2015-03-31,20.16,$0.93,21.67
2014-12-31,19.15,$0.89,21.51
2014-09-30,16.4,$0.82,20.0
2014-06-30,16.95,$0.78,21.73
2014-03-31,16.49,$0.74,22.29
2013-12-31,16.8,$0.75,22.4
2013-09-30,16.0,$0.72,22.23
2013-06-30,15.07,$0.74,20.37
2013-03-31,14.78,$0.73,20.25
2012-12-31,13.72,$0.71,19.32
2012-09-30,14.2,$0.69,20.59
2012-06-30,13.76,$0.67,20.53
2012-03-31,13.2,$0.69,19.13
2011-12-31,13.36,$0.71,18.82
2011-09-30,12.16,$0.72,16.89
2011-06-30,12.34,$0.74,16.67
2011-03-31,12.88,$0.73,17.64
2010-12-31,12.69,$0.71,17.88
2010-09-30,11.68,$0.70,16.69
2010-06-30,10.26,$0.67,15.32
2010-03-31,9.85,$0.66,14.93
2009-12-31,10.3,$0.64,16.1
