Kaixin Holdings PE Ratio Historical Data,Kaixin Holdings PE Ratio Historical Data,Kaixin Holdings PE Ratio Historical Data,Kaixin Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.0,,0.04
2024-06-30,7.91,$26.93,0.29
2019-12-31,1683.0,$53.87,31.24
2019-03-31,6464.25,$80.80,80.0
2018-12-31,9090.0,$71.82,126.56
2018-09-30,9072.0,$71.82,126.31
