HarborOne Bancorp PE Ratio Historical Data,HarborOne Bancorp PE Ratio Historical Data,HarborOne Bancorp PE Ratio Historical Data,HarborOne Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.75,,16.29
2024-12-31,11.83,$0.66,17.92
2024-09-30,12.98,$0.28,46.36
2024-06-30,11.13,$0.38,29.29
2024-03-31,10.66,$0.37,28.81
2023-12-31,11.98,$0.36,33.28
2023-09-30,9.52,$0.74,12.86
2023-06-30,8.68,$0.84,10.33
2023-03-31,12.2,$0.88,13.86
2022-12-31,13.9,$0.97,14.33
2022-09-30,13.42,$1.01,13.29
2022-06-30,13.72,$0.95,14.44
2022-03-31,13.88,$1.01,13.74
2021-12-31,14.64,$1.13,12.96
2021-09-30,13.8,$1.21,11.41
2021-06-30,14.05,$1.19,11.8
2021-03-31,13.15,$1.11,11.84
2020-12-31,10.6,$0.83,12.77
2020-09-30,7.83,$0.58,13.5
2020-06-30,8.25,$0.49,16.84
2020-03-31,7.28,$0.38,18.97
2019-12-31,10.62,$0.33,31.94
2019-09-30,9.73,$0.25,38.52
2019-06-30,10.08,$0.23,44.17
2019-03-31,9.26,$0.20,46.18
2018-12-31,8.55,$0.20,42.67
2018-09-30,10.29,$0.23,45.09
2018-06-30,10.2,$0.17,59.08
2018-03-31,9.51,$0.17,55.08
2017-12-31,10.31,$0.18,56.15
2017-09-30,10.13,$0.21,49.16
2017-06-30,10.75,$0.22,49.47
2017-03-31,10.22,$0.16,63.3
