Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.71,,13.15
2024-12-31,30.71,$2.26,13.59
2024-09-30,34.68,$1.11,31.24
2024-06-30,31.47,$1.56,20.17
2024-03-31,35.63,$2.29,15.56
2023-12-31,35.29,$2.31,15.28
2023-09-30,31.74,$2.42,13.12
2023-06-30,33.1,$2.56,12.93
2023-03-31,35.68,$1.96,18.2
2022-12-31,37.17,$1.91,19.46
2022-09-30,30.14,$0.98,30.75
2022-06-30,34.11,$1.22,27.96
2022-03-31,34.86,$0.99,35.21
2021-12-31,31.43,$0.82,38.33
2021-09-30,31.88,$1.87,17.05
2021-06-30,34.92,$1.77,19.73
2021-03-31,33.94,$0.44,77.13
2020-12-31,29.1,$0.29,100.35
2020-09-30,24.84,$-0.40,0.0
2020-06-30,26.15,$-0.15,0.0
2020-03-31,20.02,$1.57,12.75
2019-12-31,25.5,$1.59,16.04
2019-09-30,21.89,$-8.90,0.0
2019-06-30,23.94,$-9.13,0.0
2019-03-31,24.82,$-8.88,0.0
2018-12-31,32.31,$-8.40,0.0
2018-09-30,40.88,$8.46,4.83
2018-06-30,46.12,$8.72,5.29
2018-03-31,45.24,$9.04,5.0
2017-12-31,55.95,$8.96,6.24
2017-09-30,55.37,$3.21,17.25
2017-06-30,60.7,$3.13,19.39
2017-03-31,63.94,$2.82,22.67
2016-12-31,61.08,$2.82,21.66
2016-09-30,62.16,$2.28,27.26
2016-06-30,61.03,$1.32,46.24
