SunLink Health Systems PE Ratio Historical Data,SunLink Health Systems PE Ratio Historical Data,SunLink Health Systems PE Ratio Historical Data,SunLink Health Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.02,,7.29
2024-12-31,0.88,$0.14,6.29
2024-09-30,0.8,$-0.11,0.0
2024-06-30,0.8,$-0.22,0.0
2024-03-31,0.73,$-1.03,0.0
2023-12-31,0.93,$-0.94,0.0
2023-09-30,0.8,$-0.22,0.0
2023-06-30,0.91,$-0.25,0.0
2023-03-31,1.1,$-0.39,0.0
2022-12-31,0.61,$-0.42,0.0
2022-09-30,0.96,$-0.79,0.0
2022-06-30,1.0,$-0.30,0.0
2022-03-31,1.46,$0.70,2.09
2021-12-31,1.54,$0.76,2.03
2021-09-30,2.6,$1.30,2.0
2021-06-30,3.42,$0.98,3.49
2021-03-31,2.72,$0.22,12.36
2020-12-31,1.27,$0.28,4.54
2020-09-30,0.95,$-0.18,0.0
2020-06-30,0.9,$-0.17,0.0
2020-03-31,0.68,$-0.39,0.0
2019-12-31,1.07,$-0.22,0.0
2019-09-30,1.13,$-0.17,0.0
2019-06-30,1.47,$-0.25,0.0
2019-03-31,1.59,$-0.13,0.0
2018-12-31,1.14,$-0.36,0.0
2018-09-30,1.33,$-0.32,0.0
2018-06-30,1.29,$-0.23,0.0
2018-03-31,1.37,$-0.29,0.0
2017-12-31,1.59,$-0.32,0.0
2017-09-30,1.5,$-0.07,0.0
2017-06-30,1.66,$0.28,5.93
2017-03-31,1.55,$0.41,3.78
2016-12-31,1.21,$0.33,3.65
2016-09-30,1.23,$-0.99,0.0
2016-06-30,0.5,$-1.49,0.0
2016-03-31,0.49,$-1.35,0.0
2015-12-31,0.92,$-1.20,0.0
2015-09-30,1.68,$-0.11,0.0
2015-06-30,1.51,$0.03,50.33
2015-03-31,1.7,$0.16,10.63
2014-12-31,1.37,$0.10,13.7
2014-09-30,1.47,$0.02,73.5
2014-06-30,1.22,$-0.06,0.0
2014-03-31,1.56,$0.03,52.0
2013-12-31,0.88,$0.11,8.0
2013-09-30,0.77,$0.51,1.51
2013-06-30,0.83,$0.48,1.73
2013-03-31,0.9,$0.79,1.14
2012-12-31,1.19,$0.65,1.83
2012-09-30,1.52,$0.06,25.33
2012-06-30,1.2,$0.17,7.06
2012-03-31,1.18,$-1.46,0.0
2011-12-31,1.64,$-1.63,0.0
2011-09-30,1.95,$-1.68,0.0
2011-06-30,1.9,$-1.98,0.0
2011-03-31,1.61,$-1.08,0.0
2010-12-31,1.62,$-0.95,0.0
2010-09-30,2.1,$-0.80,0.0
2010-06-30,2.26,$-0.40,0.0
2010-03-31,3.9,$-0.10,0.0
2009-12-31,1.84,$0.29,6.34
