Nocera PE Ratio Historical Data,Nocera PE Ratio Historical Data,Nocera PE Ratio Historical Data,Nocera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.94,,0.0
2024-09-30,1.16,$-0.37,0.0
2024-06-30,1.1,$-0.38,0.0
2024-03-31,1.28,$-0.38,0.0
2023-12-31,1.32,$-0.45,0.0
2023-09-30,1.53,$-0.17,0.0
2023-06-30,2.5,$-0.25,0.0
