Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,466.05,,27.92
2024-12-31,419.76,$16.69,25.15
2024-09-30,428.71,$16.28,26.33
2024-06-30,512.69,$16.27,31.51
2024-03-31,491.95,$15.32,32.11
2023-12-31,406.76,$14.67,27.73
2023-09-30,372.64,$14.62,25.49
2023-06-30,330.52,$13.23,24.98
2023-03-31,322.26,$12.97,24.85
2022-12-31,337.08,$12.54,26.88
2022-09-30,300.95,$12.36,24.35
2022-06-30,376.87,$12.81,29.42
2022-03-31,392.46,$13.05,30.07
2021-12-31,542.61,$13.55,40.05
2021-09-30,457.78,$13.15,34.81
2021-06-30,446.9,$12.40,36.04
2021-03-31,351.61,$12.33,28.52
2020-12-31,365.64,$12.40,29.49
2020-09-30,404.69,$11.67,34.68
2020-06-30,350.85,$11.23,31.24
2020-03-31,307.13,$10.43,29.45
2019-12-31,277.74,$9.56,29.05
2019-09-30,230.73,$9.06,25.47
2019-06-30,261.82,$8.96,29.22
2019-03-31,242.27,$8.55,28.34
2018-12-31,232.17,$8.35,27.81
2018-09-30,275.39,$7.82,35.22
2018-06-30,263.09,$7.05,37.32
2018-03-31,217.33,$6.59,32.98
2017-12-31,175.4,$5.85,29.98
2017-09-30,183.84,$5.24,35.08
2017-06-30,195.39,$5.02,38.92
2017-03-31,169.86,$4.68,36.29
2016-12-31,146.4,$4.31,33.97
2016-09-30,139.28,$4.01,34.73
2016-06-30,120.2,$3.72,32.31
2016-03-31,120.27,$3.55,33.88
2015-12-31,101.18,$3.47,29.16
2015-09-30,97.87,$3.14,31.17
2015-06-30,102.56,$3.10,33.08
2015-03-31,90.68,$2.96,30.64
2014-12-31,84.66,$2.86,29.6
2014-09-30,69.01,$2.79,24.73
2014-06-30,65.32,$2.69,24.28
2014-03-31,68.56,$2.59,26.47
2013-12-31,61.84,$2.47,25.04
2013-09-30,60.16,$2.33,25.82
2013-06-30,51.32,$2.24,22.91
2013-03-31,45.25,$2.14,21.14
2012-12-31,38.16,$1.90,20.08
2012-09-30,33.03,$1.78,18.56
2012-06-30,27.08,$1.70,15.93
2012-03-31,31.8,$1.63,19.51
2011-12-31,27.5,$1.71,16.08
2011-09-30,22.07,$1.58,13.97
2011-06-30,20.44,$1.49,13.72
2011-03-31,14.93,$1.46,10.22
2010-12-31,12.92,$1.44,8.97
2010-09-30,10.71,$1.46,7.33
2010-06-30,9.15,$1.50,6.1
2010-03-31,11.05,$1.38,8.01
2009-12-31,6.79,$1.38,4.92
