Eve Holding PE Ratio Historical Data,Eve Holding PE Ratio Historical Data,Eve Holding PE Ratio Historical Data,Eve Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.51,,0.0
2024-12-31,5.44,$-0.34,0.0
2024-09-30,3.24,$-0.48,0.0
2024-06-30,4.05,$-0.47,0.0
2024-03-31,5.4,$-0.45,0.0
2023-12-31,7.32,$-0.45,0.0
2023-09-30,8.29,$-0.38,0.0
2023-06-30,10.48,$-0.41,0.0
2023-03-31,7.24,$-0.35,0.0
2022-12-31,7.2,$-0.26,0.0
2022-09-30,9.24,$-0.19,0.0
2022-06-30,6.2,$-0.05,0.0
2022-03-31,10.26,0,0.0
2021-12-31,10.18,0,0.0
