Leap Therapeutics PE Ratio Historical Data,Leap Therapeutics PE Ratio Historical Data,Leap Therapeutics PE Ratio Historical Data,Leap Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.41,,0.0
2024-09-30,2.57,$-1.93,0.0
2024-06-30,1.96,$-2.00,0.0
2024-03-31,2.66,$-2.39,0.0
2023-12-31,4.15,$-5.08,0.0
2023-09-30,1.38,$-5.72,0.0
2023-06-30,3.13,$-6.51,0.0
2023-03-31,3.4,$-7.10,0.0
2022-12-31,4.5,$-4.80,0.0
2022-09-30,8.8,$-4.70,0.0
2022-06-30,11.5,$-4.80,0.0
2022-03-31,17.5,$-4.50,0.0
2021-12-31,32.4,$-4.80,0.0
2021-09-30,40.1,$-4.70,0.0
2021-06-30,16.4,$-4.20,0.0
2021-03-31,19.0,$-4.20,0.0
2020-12-31,22.5,$-8.50,0.0
2020-09-30,19.8,$-10.90,0.0
2020-06-30,20.9,$-13.30,0.0
2020-03-31,15.8,$-15.80,0.0
2019-12-31,11.2,$-15.00,0.0
2019-09-30,11.7,$-10.70,0.0
2019-06-30,17.9,$-12.90,0.0
2019-03-31,18.7,$-14.20,0.0
2018-12-31,20.0,$-18.00,0.0
2018-09-30,77.9,$-25.50,0.0
2018-06-30,90.0,$-27.30,0.0
2018-03-31,83.0,$-29.70,0.0
2017-12-31,62.4,$-35.10,0.0
