Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,176.95,,10.47
2024-12-31,220.58,$16.90,13.05
2024-09-30,207.29,$16.45,12.6
2024-06-30,221.66,$14.93,14.85
2024-03-31,241.32,$16.60,14.54
2023-12-31,235.27,$17.71,13.28
2023-09-30,194.51,$18.27,10.65
2023-06-30,188.61,$18.33,10.29
2023-03-31,180.18,$16.52,10.91
2022-12-31,179.76,$15.53,11.57
2022-09-30,148.39,$17.05,8.7
2022-06-30,157.91,$20.16,7.83
2022-03-31,219.81,$25.73,8.54
2021-12-31,270.46,$26.05,10.38
2021-09-30,281.14,$25.16,11.17
2021-06-30,250.9,$21.51,11.66
2021-03-31,212.09,$15.08,14.06
2020-12-31,194.69,$9.96,19.55
2020-09-30,123.76,$7.39,16.75
2020-06-30,103.29,$6.63,15.58
2020-03-31,67.08,$8.46,7.93
2019-12-31,106.71,$11.65,9.16
2019-09-30,96.34,$8.83,10.91
2019-06-30,93.11,$9.07,10.27
2019-03-31,84.2,$8.56,9.84
2018-12-31,68.14,$8.72,7.81
2018-09-30,97.03,$9.17,10.58
2018-06-30,108.77,$8.19,13.28
2018-03-31,104.83,$5.10,20.56
2017-12-31,97.08,$3.95,24.58
2017-09-30,97.55,$5.36,18.2
2017-06-30,92.9,$5.14,18.07
2017-03-31,88.32,$6.45,13.69
2016-12-31,98.05,$6.28,15.61
2016-09-30,80.89,$5.17,15.65
2016-06-30,58.52,$3.11,18.82
2016-03-31,63.81,$3.22,19.82
2015-12-31,95.5,$3.88,24.61
2015-09-30,81.38,$5.17,15.74
2015-06-30,106.68,$9.26,11.52
2015-03-31,105.15,$10.28,10.23
2014-12-31,136.64,$10.51,13.0
2014-09-30,138.86,$11.11,12.5
2014-06-30,168.91,$9.65,17.5
2014-03-31,138.14,$9.46,14.6
2013-12-31,159.58,$8.85,18.03
2013-09-30,129.74,$7.70,16.85
2013-06-30,140.61,$6.57,21.4
2013-03-31,148.6,$5.70,26.07
2012-12-31,96.47,$4.65,20.75
2012-09-30,68.6,$19.50,3.52
2012-06-30,64.61,$17.51,3.69
2012-03-31,68.43,$16.77,4.08
2011-12-31,60.63,$16.52,3.67
2011-09-30,42.77,$0.62,68.99
2011-06-30,48.42,$1.55,31.24
2011-03-31,47.0,$1.17,40.17
2010-12-31,36.19,$0.77,47.0
2010-09-30,24.14,$0.41,58.87
2010-06-30,14.93,$-0.10,0.0
2010-03-31,16.62,$-0.56,0.0
2009-12-31,12.68,$-1.77,0.0
