GENPREX PE Ratio Historical Data,GENPREX PE Ratio Historical Data,GENPREX PE Ratio Historical Data,GENPREX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.38,,0.0
2024-09-30,0.36,$-7.92,0.0
2024-06-30,1.89,$-11.89,0.0
2024-03-31,2.98,$-14.89,0.0
2023-12-31,9.2,$-18.80,0.0
2023-09-30,15.8,$-24.80,0.0
2023-06-30,37.94,$-24.80,0.0
2023-03-31,36.4,$-23.20,0.0
2022-12-31,58.0,$-20.40,0.0
2022-09-30,56.4,$-19.20,0.0
2022-06-30,55.6,$-16.80,0.0
2022-03-31,90.4,$-15.60,0.0
2021-12-31,52.4,$-16.40,0.0
2021-09-30,107.2,$-17.20,0.0
2021-06-30,134.0,$-17.20,0.0
2021-03-31,172.4,$-18.80,0.0
2020-12-31,166.0,$-21.20,0.0
2020-09-30,134.4,$-21.20,0.0
2020-06-30,125.6,$-24.40,0.0
2020-03-31,96.8,$-29.20,0.0
2019-12-31,12.8,$-26.80,0.0
2019-09-30,32.0,$-30.40,0.0
2019-06-30,49.6,$-30.40,0.0
2019-03-31,62.2,$-38.80,0.0
2018-12-31,44.0,$-35.60,0.0
