Ramaco Resources PE Ratio Historical Data,Ramaco Resources PE Ratio Historical Data,Ramaco Resources PE Ratio Historical Data,Ramaco Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.95,,179.0
2024-12-31,10.26,$0.05,205.2
2024-09-30,11.7,$0.65,18.0
2024-06-30,12.45,$1.08,11.53
2024-03-31,16.84,$1.17,14.39
2023-12-31,17.18,$1.74,9.87
2023-09-30,10.99,$1.46,7.53
2023-06-30,8.44,$1.66,5.08
2023-03-31,8.66,$2.23,3.89
2022-12-31,8.54,$2.58,3.31
2022-09-30,8.85,$2.68,3.3
2022-06-30,12.51,$2.24,5.59
2022-03-31,14.91,$1.73,8.62
2021-12-31,12.74,$0.91,13.99
2021-09-30,11.53,$0.38,30.33
2021-06-30,5.12,$0.11,46.57
2021-03-31,3.96,$-0.06,0.0
2020-12-31,2.7,$-0.11,0.0
2020-09-30,3.28,$0.05,65.55
2020-06-30,2.0,$0.30,6.68
2020-03-31,2.24,$0.50,4.48
2019-12-31,3.35,$0.62,5.41
2019-09-30,3.5,$0.65,5.38
2019-06-30,4.98,$0.66,7.55
2019-03-31,5.43,$0.65,8.36
2018-12-31,4.64,$0.61,7.6
2018-09-30,6.99,$0.46,15.19
2018-06-30,6.52,$0.15,43.45
2018-03-31,6.73,$-0.19,0.0
2017-12-31,6.44,$-0.42,0.0
