TELA Bio PE Ratio Historical Data,TELA Bio PE Ratio Historical Data,TELA Bio PE Ratio Historical Data,TELA Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.34,,0.0
2024-09-30,2.53,$-1.69,0.0
2024-06-30,4.7,$-1.72,0.0
2024-03-31,5.67,$-1.67,0.0
2023-12-31,6.62,$-2.07,0.0
2023-09-30,8.0,$-2.06,0.0
2023-06-30,10.13,$-2.25,0.0
2023-03-31,10.64,$-2.67,0.0
2022-12-31,11.5,$-2.79,0.0
2022-09-30,8.52,$-2.86,0.0
2022-06-30,7.01,$-2.79,0.0
2022-03-31,11.63,$-2.48,0.0
2021-12-31,12.8,$-2.29,0.0
2021-09-30,13.66,$-2.24,0.0
2021-06-30,16.11,$-2.20,0.0
2021-03-31,14.9,$-2.16,0.0
2020-12-31,15.04,$-2.23,0.0
2020-09-30,16.54,$-2.91,0.0
