Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,302.08,,26.18
2024-12-31,285.44,$11.54,24.73
2024-09-30,295.42,$8.56,34.51
2024-06-30,269.96,$8.08,33.41
2024-03-31,240.63,$8.18,29.42
2023-12-31,241.26,$6.31,38.23
2023-09-30,204.47,$8.15,25.09
2023-06-30,223.43,$8.22,27.18
2023-03-31,197.48,$7.54,26.19
2022-12-31,197.87,$6.28,31.51
2022-09-30,223.85,$5.52,40.55
2022-06-30,239.45,$5.91,40.52
2022-03-31,313.71,$6.04,51.94
2021-12-31,317.84,$7.51,42.32
2021-09-30,286.82,$6.88,41.69
2021-06-30,267.39,$6.19,43.2
2021-03-31,240.62,$6.48,37.13
2020-12-31,208.59,$8.65,24.11
2020-09-30,174.88,$9.13,19.15
2020-06-30,197.54,$9.51,20.77
2020-03-31,188.11,$9.62,19.55
2019-12-31,254.63,$6.67,38.17
2019-09-30,274.67,$6.50,42.26
2019-06-30,244.02,$6.21,39.29
2019-03-31,240.15,$6.33,37.94
2018-12-31,202.23,$5.90,34.28
2018-09-30,203.47,$5.69,35.76
2018-06-30,195.66,$5.68,34.45
2018-03-31,195.44,$5.24,37.3
2017-12-31,194.49,$6.58,29.56
2017-09-30,203.21,$7.99,25.43
2017-06-30,204.39,$7.78,26.27
2017-03-31,182.71,$7.80,23.42
2016-12-31,182.11,$6.27,29.04
2016-09-30,173.21,$4.51,38.41
2016-06-30,176.16,$4.16,42.35
2016-03-31,179.34,$3.76,47.7
2015-12-31,182.34,$3.49,52.25
2015-09-30,169.16,$2.90,58.33
2015-06-30,159.82,$3.10,51.56
2015-03-31,171.76,$2.48,69.26
2014-12-31,153.4,$2.14,71.68
2014-09-30,131.9,$2.36,55.89
2014-06-30,135.47,$3.35,40.44
2014-03-31,123.71,$3.94,31.4
2013-12-31,103.64,$4.04,25.65
2013-09-30,105.78,$4.41,23.99
2013-06-30,112.9,$3.02,37.39
2013-03-31,106.16,$3.42,31.04
2012-12-31,102.56,$3.41,30.08
2012-09-30,102.9,$2.61,39.42
2012-06-30,106.06,$2.39,44.37
2012-03-31,103.63,$1.64,63.19
2011-12-31,95.4,$1.24,76.94
2011-09-30,80.9,$0.98,82.55
2011-06-30,90.4,$0.96,94.17
2011-03-31,82.22,$0.96,85.64
2010-12-31,75.09,$1.14,65.86
2010-09-30,71.3,$1.22,58.44
2010-06-30,62.94,$1.75,35.97
2010-03-31,57.48,$1.86,30.9
2009-12-31,52.83,$2.94,17.97
