Cumberland Pharmaceuticals PE Ratio Historical Data,Cumberland Pharmaceuticals PE Ratio Historical Data,Cumberland Pharmaceuticals PE Ratio Historical Data,Cumberland Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.88,,0.0
2024-12-31,2.37,$-0.47,0.0
2024-09-30,1.28,$-0.77,0.0
2024-06-30,1.53,$-0.73,0.0
2024-03-31,1.68,$-0.59,0.0
2023-12-31,1.79,$-0.44,0.0
2023-09-30,1.89,$-0.17,0.0
2023-06-30,1.47,$-0.13,0.0
2023-03-31,1.95,$-0.28,0.0
2022-12-31,2.25,$-0.38,0.0
2022-09-30,2.41,$-0.47,0.0
2022-06-30,2.08,$-0.51,0.0
2022-03-31,2.82,$-0.34,0.0
2021-12-31,4.67,$-0.24,0.0
2021-09-30,2.68,$-0.04,0.0
2021-06-30,2.85,0,0.0
2021-03-31,3.03,$-0.14,0.0
2020-12-31,2.95,$-0.22,0.0
2020-09-30,3.21,$-0.22,0.0
2020-06-30,3.33,$-0.32,0.0
2020-03-31,3.63,$-0.30,0.0
2019-12-31,5.15,$-0.23,0.0
2019-09-30,5.93,$-0.31,0.0
2019-06-30,6.37,$-0.29,0.0
2019-03-31,5.81,$-0.30,0.0
2018-12-31,6.03,$-0.45,0.0
2018-09-30,5.71,$-0.36,0.0
2018-06-30,6.13,$-0.30,0.0
2018-03-31,6.68,$-0.57,0.0
2017-12-31,7.36,$-0.50,0.0
2017-09-30,7.06,$-0.50,0.0
2017-06-30,7.0,$-0.44,0.0
2017-03-31,6.94,$-0.12,0.0
2016-12-31,5.5,$-0.06,0.0
2016-09-30,5.01,0,0.0
2016-06-30,4.5,0,0.0
2016-03-31,4.49,$0.02,224.5
2015-12-31,5.26,$0.04,131.5
2015-09-30,5.77,$0.07,82.43
2015-06-30,7.15,$0.10,71.5
2015-03-31,6.66,$0.12,55.5
2014-12-31,5.98,$0.14,42.71
2014-09-30,4.94,$0.02,247.0
2014-06-30,4.5,$-0.06,0.0
2014-03-31,4.5,$-0.13,0.0
2013-12-31,5.11,$-0.10,0.0
2013-09-30,4.53,$0.07,64.71
2013-06-30,5.11,$0.21,24.33
2013-03-31,4.98,$0.33,15.09
2012-12-31,4.2,$0.30,14.0
2012-09-30,6.46,$0.26,24.85
2012-06-30,6.46,$0.25,25.84
2012-03-31,7.5,$0.27,27.78
2011-12-31,5.38,$0.28,19.21
2011-09-30,5.58,$0.27,20.67
2011-06-30,5.75,$0.23,25.0
2011-03-31,5.53,$0.13,42.54
2010-12-31,5.99,$0.12,49.92
2010-09-30,5.81,$0.09,64.56
2010-06-30,6.42,$0.11,58.36
