Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.02,,0.0
2024-12-31,21.08,$-0.76,0.0
2024-09-30,24.09,$-0.69,0.0
2024-06-30,17.67,$-0.46,0.0
2024-03-31,27.37,$-0.04,0.0
2023-12-31,25.69,$0.52,49.39
2023-09-30,19.87,$0.22,90.3
2023-06-30,29.13,$0.87,33.48
2023-03-31,19.77,$2.24,8.83
2022-12-31,20.53,$3.21,6.4
2022-09-30,22.71,$4.54,5.0
2022-06-30,18.96,$5.29,3.58
2022-03-31,23.96,$5.61,4.27
2021-12-31,33.93,$5.99,5.66
2021-09-30,32.23,$5.79,5.57
2021-06-30,33.56,$5.51,6.09
2021-03-31,29.59,$4.72,6.27
2020-12-31,21.07,$3.10,6.8
2020-09-30,23.22,$1.87,12.41
2020-06-30,21.09,$-0.39,0.0
2020-03-31,4.39,$-1.47,0.0
2019-12-31,11.12,$-1.77,0.0
2019-09-30,6.64,$-1.71,0.0
2019-06-30,9.11,$-0.51,0.0
2019-03-31,10.08,$-0.25,0.0
2018-12-31,8.21,$0.35,23.47
2018-09-30,15.11,$-0.69,0.0
2018-06-30,17.57,$-0.39,0.0
2018-03-31,22.53,$-0.27,0.0
2017-12-31,31.12,$0.02,1555.97
2017-09-30,28.17,$1.98,14.22
