Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.0,,11.06
2024-12-31,42.52,$2.35,18.09
2024-09-30,48.76,$2.35,20.75
2024-06-30,41.9,$2.45,17.1
2024-03-31,41.69,$2.42,17.23
2023-12-31,41.21,$2.30,17.92
2023-09-30,31.02,$2.23,13.91
2023-06-30,31.7,$2.15,14.75
2023-03-31,34.7,$2.31,15.02
2022-12-31,30.62,$2.77,11.05
2022-09-30,25.39,$3.16,8.03
2022-06-30,30.44,$3.19,9.54
2022-03-31,36.3,$3.02,12.02
2021-12-31,43.43,$2.34,18.56
2021-09-30,37.41,$1.81,20.67
2021-06-30,40.61,$0.90,45.12
2021-03-31,34.46,$0.24,143.57
2020-12-31,32.54,$-0.24,0.0
2020-09-30,17.96,$-0.31,0.0
2020-06-30,22.75,$0.41,55.48
2020-03-31,21.4,$1.06,20.19
2019-12-31,39.35,$1.69,23.29
2019-09-30,32.63,$1.63,20.02
2019-06-30,30.83,$1.64,18.8
2019-03-31,30.6,$1.57,19.45
2018-12-31,27.25,$1.50,18.2
2018-09-30,21.07,$1.63,12.9
2018-06-30,21.07,$1.51,13.99
2018-03-31,17.36,$1.47,11.84
2017-12-31,18.38,$1.37,13.45
2017-09-30,17.05,$1.41,12.12
2017-06-30,15.73,$1.39,11.34
2017-03-31,15.18,$1.33,11.38
2016-12-31,14.07,$1.32,10.66
2016-09-30,13.6,$1.28,10.63
2016-06-30,13.46,$1.25,10.73
2016-03-31,14.58,$1.24,11.76
2015-12-31,11.9,$1.23,9.65
2015-09-30,14.42,$1.17,12.29
2015-06-30,16.84,$1.12,15.04
2015-03-31,14.96,$1.15,13.05
2014-12-31,12.53,$1.17,10.68
2014-09-30,12.69,$1.31,9.71
2014-06-30,13.5,$1.33,10.13
2014-03-31,14.16,$1.33,10.66
2013-12-31,14.4,$1.32,10.91
2013-09-30,14.13,$1.29,10.96
2013-06-30,12.7,$1.23,10.31
2013-03-31,11.34,$1.21,9.35
2012-12-31,11.09,$1.20,9.21
2012-09-30,11.47,$1.12,10.25
2012-06-30,8.33,$1.07,7.81
2012-03-31,11.22,$1.04,10.79
2011-12-31,9.05,$1.00,9.01
2011-09-30,7.9,$0.94,8.37
2011-06-30,9.84,$0.85,11.52
2011-03-31,8.21,$0.82,10.04
2010-12-31,7.3,$0.79,9.19
2010-09-30,7.18,$0.75,9.52
2010-06-30,5.51,$0.71,7.81
2010-03-31,5.69,$0.63,9.05
2009-12-31,4.81,$0.54,8.92
