Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1360.74,,48.0
2024-12-31,1267.28,$28.35,44.7
2024-09-30,1352.3,$25.60,52.82
2024-06-30,1210.62,$27.03,44.79
2024-03-31,1167.03,$25.21,46.29
2023-12-31,958.56,$23.56,40.69
2023-09-30,770.75,$22.02,35.0
2023-06-30,817.41,$18.77,43.55
2023-03-31,673.78,$16.73,40.27
2022-12-31,575.6,$14.79,38.92
2022-09-30,479.77,$13.44,35.7
2022-06-30,477.14,$13.04,36.59
2022-03-31,579.26,$14.37,40.31
2021-12-31,565.7,$12.78,44.26
2021-09-30,555.28,$10.38,53.5
2021-06-30,575.48,$8.23,69.93
2021-03-31,522.7,$2.70,193.59
2020-12-31,550.2,$6.47,85.04
2020-09-30,422.41,$8.96,47.14
2020-06-30,393.01,$12.16,32.32
2020-03-31,284.67,$14.83,19.2
2019-12-31,497.88,$12.87,38.69
2019-09-30,437.69,$13.85,31.6
2019-06-30,384.36,$13.33,28.83
2019-03-31,360.67,$14.67,24.59
2018-12-31,270.16,$14.60,18.5
2018-09-30,295.78,$16.20,18.26
2018-06-30,274.2,$13.74,19.96
2018-03-31,243.85,$12.91,18.89
2017-12-31,218.17,$12.16,17.94
2017-09-30,203.1,$7.92,25.64
2017-06-30,196.98,$9.04,21.79
2017-03-31,161.29,$8.48,19.02
2016-12-31,182.39,$8.17,22.32
2016-09-30,193.93,$9.73,19.93
2016-06-30,176.87,$9.46,18.7
2016-03-31,147.79,$8.69,17.01
2015-12-31,153.23,$8.18,18.73
2015-09-30,142.47,$7.84,18.17
2015-06-30,150.7,$7.25,20.79
2015-03-31,146.71,$3.84,38.2
2014-12-31,131.7,$3.37,39.08
2014-09-30,123.64,$3.18,38.88
2014-06-30,112.19,$1.07,104.85
2014-03-31,108.11,$3.44,31.43
2013-12-31,93.99,$3.20,29.37
2013-09-30,80.96,$2.42,33.46
2013-06-30,79.21,$4.25,18.64
2013-03-31,77.26,$5.22,14.8
2012-12-31,68.9,$5.48,12.57
2012-09-30,65.29,$5.97,10.94
2012-06-30,61.81,$5.60,11.04
2012-03-31,53.27,$4.98,10.7
2011-12-31,44.03,$4.52,9.74
2011-09-30,37.58,$3.18,11.82
2011-06-30,41.97,$2.88,14.57
2011-03-31,38.58,$2.65,14.56
2010-12-31,33.14,$2.32,14.28
2010-09-30,28.56,$2.52,11.33
2010-06-30,23.48,$2.38,9.87
2010-03-31,24.41,$2.37,10.3
2009-12-31,21.86,$2.45,8.92
