Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.3,,0.0
2024-09-30,36.54,$-0.42,0.0
2024-03-31,23.52,$1.71,13.76
2023-12-31,22.22,$4.38,5.07
2023-03-31,20.17,$4.44,4.54
2022-06-30,21.25,$4.55,4.67
2022-03-31,23.14,$6.70,3.45
2021-12-31,11.57,$3.73,3.1
2021-09-30,12.11,$3.77,3.21
2021-06-30,12.38,$4.41,2.81
2021-03-31,9.55,$-1.46,0.0
2020-12-31,9.0,$-2.72,0.0
2020-09-30,5.66,$-2.82,0.0
2020-06-30,6.76,$-3.43,0.0
2020-03-31,7.36,$-2.95,0.0
2019-12-31,13.28,$-2.33,0.0
2019-09-30,12.13,$-5.42,0.0
2019-06-30,17.26,$-3.96,0.0
2019-03-31,19.52,$-2.49,0.0
2018-12-31,20.0,$-2.29,0.0
2018-09-30,25.4,$0.84,30.24
2018-06-30,26.78,$-0.24,0.0
2018-03-31,24.83,$-1.33,0.0
2017-12-31,27.01,$-1.77,0.0
2017-09-30,20.45,$-1.95,0.0
2017-06-30,20.07,$-1.52,0.0
2017-03-31,25.14,$-1.86,0.0
2016-12-31,20.61,$-2.07,0.0
2016-09-30,19.01,$-1.93,0.0
2016-06-30,13.86,$-3.49,0.0
2016-03-31,16.02,$-2.45,0.0
2015-12-31,14.04,$-1.36,0.0
2015-09-30,24.18,$-1.36,0.0
2015-06-30,40.12,$0.28,143.27
2015-03-31,28.26,$0.05,565.17
2014-12-31,30.54,$-0.02,0.0
2014-09-30,55.03,$0.03,1834.36
2014-06-30,49.45,$-0.21,0.0
2014-03-31,33.98,$0.79,43.01
2013-12-31,29.24,$1.69,17.3
2013-09-30,29.97,$1.92,15.61
2013-06-30,25.07,$2.64,9.5
2013-03-31,28.69,$2.34,12.26
2012-12-31,28.53,$1.47,19.41
2012-09-30,29.27,$1.40,20.91
2012-06-30,28.3,$1.01,28.02
2012-03-31,28.27,$0.57,49.59
2011-12-31,32.76,$0.62,52.84
2011-09-30,23.26,$0.48,48.45
2011-06-30,25.31,$0.37,68.41
2011-03-31,18.41,$0.29,63.47
2010-12-31,10.63,$0.01,1062.89
2010-09-30,8.71,$0.20,43.56
2010-06-30,6.67,$0.12,55.55
2010-03-31,7.87,$0.38,20.7
2009-12-31,8.3,$0.34,24.4
