Flexible Solutions PE Ratio Historical Data,Flexible Solutions PE Ratio Historical Data,Flexible Solutions PE Ratio Historical Data,Flexible Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.35,,16.21
2024-09-30,3.65,$0.33,11.05
2024-06-30,1.75,$0.22,7.95
2024-03-31,1.8,$0.19,9.46
2023-12-31,1.83,$0.22,8.3
2023-09-30,2.6,$0.30,8.67
2023-06-30,2.55,$0.45,5.67
2023-03-31,2.93,$0.51,5.75
2022-12-31,2.91,$0.56,5.2
2022-09-30,1.55,$0.32,4.85
2022-06-30,2.3,$0.32,7.2
2022-03-31,3.83,$0.28,13.67
2021-12-31,3.66,$0.28,13.06
2021-09-30,3.38,$0.30,11.28
2021-06-30,3.68,$0.26,14.14
2021-03-31,3.8,$0.26,14.61
2020-12-31,2.34,$0.24,9.75
2020-09-30,1.92,$0.28,6.85
2020-06-30,1.92,$0.26,7.38
2020-03-31,1.1,$0.17,6.47
2019-12-31,2.42,$0.16,15.1
2019-09-30,2.22,$0.10,22.19
2019-06-30,4.11,$0.06,68.49
2019-03-31,2.03,$0.24,8.47
2018-12-31,1.16,$0.21,5.53
2018-09-30,1.26,$0.10,12.64
2018-06-30,1.45,$0.09,16.15
2018-03-31,1.38,$-0.07,0.0
2017-12-31,1.57,$0.15,10.44
2017-09-30,1.48,$0.31,4.77
2017-06-30,1.6,$0.34,4.7
2017-03-31,1.26,$0.37,3.42
2016-12-31,1.14,$0.15,7.62
2016-09-30,1.91,$0.15,12.73
2016-06-30,1.2,$0.16,7.53
2016-03-31,0.8,$0.13,6.15
2015-12-31,0.86,$0.11,7.78
2015-09-30,0.83,$0.08,10.32
2015-06-30,1.76,$0.07,25.19
2015-03-31,1.1,$0.08,13.76
2014-12-31,0.97,$0.03,32.49
2014-09-30,1.1,$0.22,5.0
2014-06-30,0.72,$0.16,4.52
2014-03-31,0.68,$0.14,4.85
2013-12-31,0.83,$0.15,5.5
2013-09-30,0.96,$-0.07,0.0
2013-06-30,0.68,$-0.05,0.0
2013-03-31,1.05,$-0.10,0.0
2012-12-31,0.99,$-0.08,0.0
2012-09-30,1.19,$-0.07,0.0
2012-06-30,1.22,$-0.05,0.0
2012-03-31,2.02,0,0.0
2011-12-31,1.94,$0.01,0.0
2011-09-30,2.04,0,0.0
2011-06-30,2.31,$-0.00,0.0
2011-03-31,1.27,$-0.02,0.0
2010-12-31,1.1,$-0.01,0.0
2010-09-30,1.11,$0.01,0.0
2010-06-30,1.45,$0.01,145.35
2010-03-31,1.42,0,0.0
2009-12-31,1.44,$-0.05,0.0
