Soligenix PE Ratio Historical Data,Soligenix PE Ratio Historical Data,Soligenix PE Ratio Historical Data,Soligenix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.38,,0.0
2024-09-30,3.97,$-7.53,0.0
2024-06-30,2.58,$-9.31,0.0
2024-03-31,9.6,$-11.52,0.0
2023-12-31,12.12,$-14.40,0.0
2023-09-30,8.92,$-11.84,0.0
2023-06-30,11.26,$-28.47,0.0
2023-03-31,31.52,$-39.34,0.0
2022-12-31,108.48,$-57.57,0.0
2022-09-30,104.81,$-83.96,0.0
2022-06-30,144.0,$-86.36,0.0
2022-03-31,175.18,$-83.96,0.0
2021-12-31,158.47,$-74.36,0.0
2021-09-30,254.4,$-93.55,0.0
2021-06-30,266.4,$-86.36,0.0
2021-03-31,367.2,$-98.35,0.0
2020-12-31,307.2,$-160.72,0.0
2020-09-30,429.6,$-148.73,0.0
2020-06-30,506.4,$-167.92,0.0
2020-03-31,403.2,$-172.71,0.0
2019-12-31,348.0,$-117.54,0.0
2019-09-30,228.0,$-127.14,0.0
2019-06-30,170.4,$-119.94,0.0
2019-03-31,219.6,$-134.33,0.0
2018-12-31,206.4,$-177.51,0.0
2018-09-30,451.2,$-134.33,0.0
2018-06-30,232.8,$-148.73,0.0
2018-03-31,468.0,$-203.90,0.0
2017-12-31,532.68,$-215.89,0.0
2017-09-30,535.2,$-249.48,0.0
