Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,139.43,,98.19
2024-12-31,177.98,$1.42,125.34
2024-09-30,246.88,$5.03,49.08
2024-06-30,209.66,$5.57,37.64
2024-03-31,225.09,$6.23,36.13
2023-12-31,247.77,$7.53,32.9
2023-09-30,194.86,$8.53,22.84
2023-06-30,239.76,$7.79,30.78
2023-03-31,250.59,$7.67,32.67
2022-12-31,246.59,$7.68,32.11
2022-09-30,198.69,$8.72,22.79
2022-06-30,242.15,$10.76,22.5
2022-03-31,349.06,$10.29,33.92
2021-12-31,322.83,$10.24,31.53
2021-09-30,369.7,$9.15,40.4
2021-06-30,394.11,$7.41,53.19
2021-03-31,407.17,$5.89,69.13
2020-12-31,403.01,$7.09,56.84
2020-09-30,333.02,$7.77,42.86
2020-06-30,355.75,$10.16,35.01
2020-03-31,285.95,$11.69,24.46
2019-12-31,367.18,$9.78,37.54
2019-09-30,331.07,$9.42,35.14
2019-06-30,322.39,$5.78,55.78
2019-03-31,293.83,$3.96,74.2
2018-12-31,251.06,$4.29,58.52
2018-09-30,258.11,$1.45,178.0
2018-06-30,259.78,$1.89,137.45
2018-03-31,246.65,$3.61,68.32
2017-12-31,240.35,$3.27,73.5
2017-09-30,233.43,$5.48,42.6
2017-06-30,200.09,$5.23,38.26
2017-03-31,186.26,$4.82,38.64
2016-12-31,154.66,$5.00,30.93
2016-09-30,160.9,$5.79,27.79
2016-06-30,169.45,$5.64,30.04
2016-03-31,149.74,$5.31,28.2
2015-12-31,125.07,$5.08,24.62
2015-09-30,117.88,$4.06,29.03
2015-06-30,128.21,$3.99,32.13
2015-03-31,114.07,$4.08,27.96
2014-12-31,108.09,$4.03,26.82
2014-09-30,98.59,$3.73,26.43
2014-06-30,98.8,$3.63,27.22
2014-03-31,100.01,$3.59,27.86
2013-12-31,87.24,$3.46,25.21
2013-09-30,76.21,$3.39,22.48
2013-06-30,71.46,$2.83,25.25
2013-03-31,77.6,$2.89,26.85
2012-12-31,65.2,$-4.70,0.0
2012-09-30,62.63,$-1.30,0.0
2012-06-30,55.12,$-0.75,0.0
2012-03-31,55.02,$-0.96,0.0
2011-12-31,54.83,$7.92,6.92
2011-09-30,47.83,$5.83,8.2
2011-06-30,53.95,$5.31,10.16
2011-03-31,50.96,$5.97,8.54
2010-12-31,47.02,$4.99,9.42
2010-09-30,49.3,$4.05,12.17
2010-06-30,46.83,$4.46,10.5
2010-03-31,54.96,$3.13,17.56
2009-12-31,45.97,$7.60,6.05
