International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,79.74,,84.83
2024-12-31,84.55,$0.94,89.95
2024-09-30,104.93,$-9.09,0.0
2024-06-30,94.84,$-9.22,0.0
2024-03-31,85.3,$-9.77,0.0
2023-12-31,79.94,$-10.04,0.0
2023-09-30,66.64,$0.18,370.2
2023-06-30,76.89,$-8.54,0.0
2023-03-31,87.92,$-8.22,0.0
2022-12-31,99.27,$-7.22,0.0
2022-09-30,85.34,$-6.88,0.0
2022-06-30,111.0,$2.50,44.4
2022-03-31,121.55,$2.18,55.76
2021-12-31,138.58,$1.01,137.2
2021-09-30,122.34,$1.23,99.46
2021-06-30,135.87,$1.22,111.37
2021-03-31,126.32,$1.85,68.28
2020-12-31,97.93,$3.21,30.51
2020-09-30,109.42,$3.34,32.76
2020-06-30,108.7,$3.72,29.22
2020-03-31,90.06,$4.18,21.55
2019-12-31,113.02,$3.99,28.33
2019-09-30,106.84,$3.38,31.61
2019-06-30,125.56,$3.42,36.71
2019-03-31,110.9,$3.47,31.96
2018-12-31,114.94,$4.14,27.76
2018-09-30,118.44,$3.54,33.46
2018-06-30,104.99,$3.76,27.92
2018-03-31,115.32,$3.89,29.65
2017-12-31,127.88,$3.71,34.47
2017-09-30,119.22,$5.22,22.84
2017-06-30,112.08,$4.95,22.64
2017-03-31,109.51,$5.03,21.77
2016-12-31,96.91,$5.05,19.19
2016-09-30,116.95,$4.94,23.67
2016-06-30,102.66,$5.13,20.01
2016-03-31,92.24,$4.96,18.6
2015-12-31,96.52,$5.06,19.08
2015-09-30,82.92,$5.27,15.73
2015-06-30,87.29,$5.27,16.56
2015-03-31,93.38,$5.33,17.52
2014-12-31,80.3,$5.06,15.87
2014-09-30,75.62,$4.71,16.05
2014-06-30,81.85,$4.60,17.79
2014-03-31,74.8,$4.49,16.66
2013-12-31,66.94,$4.29,15.6
2013-09-30,63.79,$4.37,14.6
2013-06-30,57.98,$3.37,17.2
2013-03-31,58.88,$3.21,18.34
2012-12-31,50.87,$3.10,16.41
2012-09-30,45.32,$2.57,17.63
2012-06-30,41.45,$3.37,12.3
2012-03-31,44.08,$3.22,13.69
2011-12-31,39.22,$3.26,12.03
2011-09-30,41.81,$3.64,11.49
2011-06-30,47.53,$3.59,13.24
2011-03-31,45.9,$3.49,13.15
2010-12-31,40.77,$3.26,12.51
2010-09-30,35.41,$3.17,11.17
2010-06-30,30.79,$2.88,10.69
2010-03-31,34.41,$2.66,12.94
2009-12-31,29.54,$2.46,12.01
