X3 Holdings PE Ratio Historical Data,X3 Holdings PE Ratio Historical Data,X3 Holdings PE Ratio Historical Data,X3 Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,inf
2024-06-30,10.42,0.0,0.0
2023-12-31,28.3,0.0,0.0
2023-06-30,135.88,0.0,0.0
2022-12-31,454.19,0.0,0.0
2022-06-30,2920.75,0.0,0.0
2021-12-31,2366.94,0.0,0.0
2021-06-30,9781.13,0.0,0.0
