Socket Mobile PE Ratio Historical Data,Socket Mobile PE Ratio Historical Data,Socket Mobile PE Ratio Historical Data,Socket Mobile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.15,$-0.22,0.0
2024-06-30,1.08,$-0.23,0.0
2024-03-31,1.02,$-0.21,0.0
2023-12-31,1.16,$-0.26,0.0
2023-09-30,1.14,$-0.28,0.0
2023-06-30,1.44,$-0.23,0.0
2023-03-31,1.87,$-0.16,0.0
2022-12-31,1.93,0,0.0
2022-09-30,2.12,$0.05,42.4
2022-06-30,3.04,$0.23,13.22
2022-03-31,4.01,$0.49,8.18
2021-12-31,4.08,$0.48,8.5
2021-09-30,6.3,$0.60,10.5
2021-06-30,6.15,$0.59,10.42
2021-03-31,8.59,$0.19,45.21
2020-12-31,2.38,$0.15,15.87
2020-09-30,1.27,$-0.07,0.0
2020-06-30,1.55,$-0.12,0.0
2020-03-31,1.08,$0.03,36.15
2019-12-31,1.61,$0.04,40.25
2019-09-30,2.35,$0.00,0.0
2019-06-30,2.27,$-0.02,0.0
2019-03-31,2.0,$-0.06,0.0
2018-12-31,1.5,$-0.09,0.0
2018-09-30,2.3,$-0.45,0.0
2018-06-30,2.45,$-0.38,0.0
2018-03-31,3.23,$-0.29,0.0
2017-12-31,3.58,$-0.21,0.0
2017-09-30,3.79,$1.58,2.4
2017-06-30,4.07,$1.62,2.51
2017-03-31,4.29,$1.62,2.65
