Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.27,,36.61
2024-12-31,35.98,$1.10,32.71
2024-09-30,30.69,$1.98,15.5
2024-06-30,33.36,$1.97,16.94
2024-03-31,34.18,$1.97,17.35
2023-12-31,30.14,$3.54,8.52
2023-09-30,32.01,$5.58,5.74
2023-06-30,28.97,$6.87,4.22
2023-03-31,26.01,$8.52,3.05
2022-12-31,24.51,$4.71,5.2
2022-09-30,24.67,$4.87,5.06
2022-06-30,24.11,$1.94,12.43
2022-03-31,29.59,$-0.48,0.0
2021-12-31,17.37,$1.49,11.66
2021-09-30,22.04,$-1.83,0.0
2021-06-30,16.33,$-3.22,0.0
2021-03-31,10.06,$-3.18,0.0
2020-12-31,6.53,$-2.71,0.0
2020-09-30,6.45,$-10.13,0.0
2020-06-30,5.48,$-7.41,0.0
2020-03-31,2.22,$-6.34,0.0
2019-12-31,4.72,$-6.91,0.0
2019-09-30,3.71,$-6.79,0.0
2019-06-30,6.74,$-6.49,0.0
2019-03-31,10.82,$-7.27,0.0
2018-12-31,9.2,$-7.08,0.0
2018-09-30,16.3,$0.96,16.98
2018-06-30,16.03,$0.25,64.12
2018-03-31,13.91,$0.85,16.37
2017-12-31,16.3,$1.34,12.17
2017-09-30,18.68,$-0.21,0.0
2017-06-30,22.09,$0.08,276.15
2017-03-31,27.72,$-1.55,0.0
2016-12-31,32.71,$-2.79,0.0
2016-09-30,36.87,$-4.06,0.0
2016-06-30,41.02,$-5.64,0.0
2016-03-31,30.78,$-5.00,0.0
2015-12-31,23.38,$-4.29,0.0
2015-09-30,30.46,$-0.68,0.0
2015-06-30,46.77,$1.99,23.5
2015-03-31,49.26,$3.74,13.17
2014-12-31,50.55,$3.78,13.37
2014-09-30,64.08,$2.27,28.23
2014-06-30,82.12,$1.53,53.67
2014-03-31,78.32,$1.37,57.17
2013-12-31,79.55,$0.70,113.64
2013-09-30,71.57,$0.85,84.2
2013-06-30,72.88,$0.39,186.88
2013-03-31,76.35,$-0.15,0.0
2012-12-31,59.16,$0.06,986.04
2012-09-30,65.75,$-0.28,0.0
2012-06-30,58.19,$0.28,207.82
2012-03-31,54.64,$0.26,210.16
2011-12-31,58.18,$0.36,161.6
2011-09-30,54.87,$-1.64,0.0
2011-06-30,52.06,$-1.91,0.0
2011-03-31,54.79,$-2.17,0.0
2010-12-31,42.12,$-1.53,0.0
2010-09-30,35.68,$0.38,93.88
2010-06-30,37.52,$0.24,156.35
2010-03-31,43.77,$-0.08,0.0
2009-12-31,46.52,$-0.35,0.0
