Solitario Resources PE Ratio Historical Data,Solitario Resources PE Ratio Historical Data,Solitario Resources PE Ratio Historical Data,Solitario Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.65,,0.0
2024-12-31,0.59,$-0.05,0.0
2024-09-30,0.7,$-0.06,0.0
2024-06-30,0.89,$-0.05,0.0
2024-03-31,0.6,$-0.06,0.0
2023-12-31,0.56,$-0.06,0.0
2023-09-30,0.54,$-0.06,0.0
2023-06-30,0.58,$-0.06,0.0
2023-03-31,0.66,$-0.07,0.0
2022-12-31,0.62,$-0.07,0.0
2022-09-30,0.49,$-0.07,0.0
2022-06-30,0.57,$-0.06,0.0
2022-03-31,0.84,$-0.04,0.0
2021-12-31,0.5,$-0.04,0.0
2021-09-30,0.56,$-0.04,0.0
2021-06-30,0.67,$-0.03,0.0
2021-03-31,0.83,$-0.02,0.0
2020-12-31,0.56,$-0.02,0.0
2020-09-30,0.4,$-0.01,0.0
2020-06-30,0.31,$-0.04,0.0
2020-03-31,0.2,$-0.06,0.0
2019-12-31,0.3,$-0.06,0.0
2019-09-30,0.28,$-0.08,0.0
2019-06-30,0.32,$-0.06,0.0
2019-03-31,0.42,$-0.05,0.0
2018-12-31,0.23,$-0.06,0.0
2018-09-30,0.35,$-0.05,0.0
2018-06-30,0.43,$-0.04,0.0
2018-03-31,0.47,$-0.04,0.0
2017-12-31,0.6,$-0.02,0.0
2017-09-30,0.69,$-0.01,0.0
2017-06-30,0.67,$-0.04,0.0
2017-03-31,0.82,$-0.03,0.0
2016-12-31,0.62,$-0.04,0.0
2016-09-30,0.66,$-0.05,0.0
2016-06-30,0.52,$0.23,2.26
2016-03-31,0.47,$0.23,2.04
2015-12-31,0.49,$0.23,2.15
2015-09-30,0.45,$0.23,1.96
2015-06-30,0.63,$-0.03,0.0
2015-03-31,0.75,$-0.04,0.0
2014-12-31,0.92,$-0.04,0.0
2014-09-30,1.2,$-0.04,0.0
2014-06-30,1.32,$-0.04,0.0
2014-03-31,1.27,$-0.04,0.0
2013-12-31,0.85,$-0.06,0.0
2013-09-30,0.87,$-0.08,0.0
2013-06-30,0.9,$-0.11,0.0
2013-03-31,1.6,$-0.10,0.0
2012-12-31,1.68,$-0.09,0.0
2012-09-30,1.85,$-0.10,0.0
2012-06-30,1.32,$-0.09,0.0
2012-03-31,1.38,$-0.12,0.0
2011-12-31,1.43,$-0.13,0.0
2011-09-30,1.72,$-0.16,0.0
2011-06-30,2.85,$-0.13,0.0
2011-03-31,3.59,$-0.14,0.0
2010-12-31,3.63,$-0.12,0.0
2010-09-30,2.32,$-0.03,0.0
2010-06-30,2.14,$-0.04,0.0
2010-03-31,2.05,$-0.05,0.0
2009-12-31,2.3,$-0.06,0.0
