Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.48,,12.55
2024-12-31,27.16,$1.95,13.93
2024-09-30,26.14,$1.56,16.76
2024-06-30,20.76,$1.60,12.97
2024-03-31,19.97,$1.72,11.61
2023-12-31,22.46,$1.98,11.34
2023-09-30,17.13,$2.65,6.46
2023-06-30,16.95,$2.84,5.97
2023-03-31,17.05,$2.76,6.18
2022-12-31,26.03,$2.71,9.6
2022-09-30,24.49,$2.80,8.75
2022-06-30,26.79,$2.74,9.78
2022-03-31,34.73,$2.79,12.45
2021-12-31,36.01,$2.78,12.95
2021-09-30,35.46,$2.42,14.65
2021-06-30,31.71,$2.15,14.75
2021-03-31,29.16,$2.04,14.29
2020-12-31,22.72,$1.48,15.35
2020-09-30,14.95,$1.58,9.46
2020-06-30,15.39,$1.63,9.44
2020-03-31,12.02,$1.64,7.33
2019-12-31,24.91,$1.69,14.74
2019-09-30,20.65,$1.53,13.5
2019-06-30,22.09,$1.38,16.0
2019-03-31,20.61,$1.31,15.74
2018-12-31,18.11,$1.60,11.32
2018-09-30,23.94,$1.39,17.22
2018-06-30,26.32,$1.28,20.56
2018-03-31,23.44,$1.09,21.5
2017-12-31,23.37,$0.87,26.86
2017-09-30,22.84,$0.95,24.04
2017-06-30,22.3,$1.01,22.08
2017-03-31,23.82,$1.07,22.26
2016-12-31,22.63,$1.13,20.02
2016-09-30,14.73,$1.09,13.51
2016-06-30,13.57,$1.01,13.44
2016-03-31,12.31,$0.91,13.53
2015-12-31,13.73,$0.84,16.35
2015-09-30,13.23,$0.79,16.75
