Rafael Holdings PE Ratio Historical Data,Rafael Holdings PE Ratio Historical Data,Rafael Holdings PE Ratio Historical Data,Rafael Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.96,,0.0
2025-01-31,2.06,$-1.92,0.0
2024-10-31,1.85,$-1.67,0.0
2024-07-31,1.49,$-1.45,0.0
2024-04-30,1.59,$-1.20,0.0
2024-01-31,1.81,$0.10,18.1
2023-10-31,1.78,$-0.29,0.0
2023-07-31,2.0,$-0.07,0.0
2023-04-30,2.1,$-0.37,0.0
2023-01-31,2.06,$-0.59,0.0
2022-10-31,1.77,$-0.57,0.0
2022-07-31,2.02,$-7.13,0.0
2022-04-30,2.15,$-7.64,0.0
2022-01-31,4.14,$-7.51,0.0
2021-10-31,7.56,$-7.89,0.0
2021-07-31,50.61,$-1.49,0.0
2021-04-30,41.34,$-1.08,0.0
2021-01-31,23.48,$-1.07,0.0
2020-10-31,16.4,$-0.65,0.0
2020-07-31,13.97,$-0.66,0.0
2020-04-30,14.11,$-0.48,0.0
2020-01-31,20.24,$-0.41,0.0
2019-10-31,17.37,$-0.41,0.0
2019-07-31,20.7,$-0.35,0.0
2019-04-30,16.2,$-0.24,0.0
2019-01-31,15.42,$-0.21,0.0
