Montrose Environmental PE Ratio Historical Data,Montrose Environmental PE Ratio Historical Data,Montrose Environmental PE Ratio Historical Data,Montrose Environmental PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.87,,0.0
2024-12-31,18.55,$-2.21,0.0
2024-09-30,26.3,$-1.49,0.0
2024-06-30,44.56,$-1.49,0.0
2024-03-31,39.17,$-1.48,0.0
2023-12-31,32.13,$-1.58,0.0
2023-09-30,29.26,$-1.90,0.0
2023-06-30,42.12,$-1.84,0.0
2023-03-31,35.67,$-1.86,0.0
2022-12-31,44.39,$-1.62,0.0
2022-09-30,33.65,$-1.31,0.0
2022-06-30,33.76,$-1.05,0.0
2022-03-31,52.93,$-1.36,0.0
2021-12-31,70.51,$-1.59,0.0
2021-09-30,61.74,$-1.53,0.0
2021-06-30,53.66,$-4.45,0.0
