First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.22,,14.13
2024-12-31,20.14,$1.36,14.81
2024-09-30,15.42,$1.38,11.17
2024-06-30,15.51,$1.21,12.82
2024-03-31,14.99,$1.43,10.48
2023-12-31,13.64,$1.53,8.91
2023-09-30,10.5,$1.67,6.29
2023-06-30,10.6,$1.89,5.61
2023-03-31,16.52,$1.62,10.2
2022-12-31,22.55,$1.53,14.74
2022-09-30,20.94,$1.48,14.15
2022-06-30,19.87,$1.44,13.8
2022-03-31,21.2,$1.68,12.62
2021-12-31,14.65,$1.74,8.42
2021-09-30,14.48,$1.76,8.23
2021-06-30,15.21,$2.30,6.61
2021-03-31,14.76,$1.94,7.61
2020-12-31,11.04,$1.58,6.99
2020-09-30,8.07,$1.53,5.27
2020-06-30,8.38,$0.93,9.01
2020-03-31,6.68,$1.11,6.02
2019-12-31,13.5,$1.38,9.78
2019-09-30,13.09,$1.31,9.99
2019-06-30,11.96,$1.79,6.68
2019-03-31,11.1,$1.69,6.57
2018-12-31,10.35,$1.65,6.27
2018-09-30,13.45,$1.15,11.7
2018-06-30,13.82,$0.60,23.03
2018-03-31,14.49,$0.73,19.85
2017-12-31,15.29,$0.69,22.16
2017-09-30,14.58,$1.12,13.02
2017-06-30,13.19,$1.11,11.88
2017-03-31,13.93,$0.97,14.36
2016-12-31,15.0,$0.94,15.96
2016-09-30,11.38,$0.91,12.5
2016-06-30,10.25,$0.93,11.02
2016-03-31,9.69,$0.91,10.65
2015-12-31,10.69,$0.38,28.12
2015-09-30,10.39,$0.38,27.35
2015-06-30,11.44,$0.28,40.85
2015-03-31,10.39,$0.38,27.34
2014-12-31,9.83,$0.90,10.92
2014-09-30,8.86,$0.91,9.73
2014-06-30,8.52,$0.27,31.55
2014-03-31,8.83,$0.12,73.57
2013-12-31,8.3,$0.10,83.0
2013-09-30,7.79,$0.06,129.91
2013-06-30,7.91,$0.61,12.96
2013-03-31,7.51,$-0.06,0.0
2012-12-31,6.93,$-0.11,0.0
2012-09-30,6.73,$-0.15,0.0
2012-06-30,6.04,$-0.11,0.0
2012-03-31,7.24,$0.55,13.16
2011-12-31,5.57,$0.58,9.61
2011-09-30,4.15,$0.25,16.59
2011-06-30,6.63,$0.18,36.82
2011-03-31,7.78,$0.03,259.34
2010-12-31,8.17,$-0.23,0.0
2010-09-30,7.21,$-0.33,0.0
2010-06-30,6.61,$-0.62,0.0
2010-03-31,7.46,$-1.16,0.0
2009-12-31,6.61,$-1.40,0.0
