Dave PE Ratio Historical Data,Dave PE Ratio Historical Data,Dave PE Ratio Historical Data,Dave PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,87.79,,20.61
2024-12-31,86.92,$4.26,20.4
2024-09-30,39.96,$3.13,12.77
2024-06-30,30.3,$2.09,14.5
2024-03-31,37.14,$-0.28,0.0
2023-12-31,8.39,$-4.07,0.0
2023-09-30,6.2,$-4.10,0.0
2023-06-30,5.33,$-7.24,0.0
2023-03-31,6.06,$-7.58,0.0
2022-12-31,0.29,$-9.58,0.0
2022-09-30,0.36,$-14.38,0.0
2022-06-30,0.69,$-10.22,0.0
2022-03-31,7.15,$-7.99,0.0
