Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,271.1,,44.96
2024-12-31,316.05,$6.03,52.41
2024-09-30,298.06,$5.42,54.99
2024-06-30,253.92,$5.30,47.91
2024-03-31,259.54,$5.16,50.3
2023-12-31,215.58,$5.01,43.03
2023-09-30,186.8,$4.69,39.83
2023-06-30,196.09,$3.92,50.02
2023-03-31,166.18,$3.39,49.02
2022-12-31,142.11,$3.32,42.8
2022-09-30,126.97,$2.93,43.33
2022-06-30,124.86,$3.08,40.54
2022-03-31,130.96,$3.30,39.68
2021-12-31,114.02,$3.35,34.04
2021-09-30,113.19,$3.81,29.71
2021-06-30,90.02,$3.73,24.13
2021-03-31,87.33,$3.44,25.39
2020-12-31,71.49,$3.08,23.21
2020-09-30,52.43,$2.71,19.35
2020-06-30,38.87,$2.50,15.55
2020-03-31,31.35,$2.17,14.45
2019-12-31,40.22,$2.73,14.73
2019-09-30,37.3,$2.31,16.15
2019-06-30,37.64,$2.20,17.11
2019-03-31,37.12,$2.49,14.91
2018-12-31,29.61,$1.91,15.5
2018-09-30,32.84,$2.25,14.59
2018-06-30,32.85,$2.00,16.43
2018-03-31,33.79,$1.93,17.51
2017-12-31,38.47,$2.00,19.24
2017-09-30,36.76,$1.85,19.87
2017-06-30,32.38,$1.77,18.3
2017-03-31,36.5,$1.47,24.83
2016-12-31,34.28,$1.29,26.57
2016-09-30,27.53,$0.69,39.9
2016-06-30,22.74,$1.36,16.72
2016-03-31,22.19,$1.47,15.1
2015-12-31,19.92,$1.59,12.53
2015-09-30,23.81,$1.92,12.4
2015-06-30,28.35,$1.20,23.62
2015-03-31,28.06,$1.35,20.79
2014-12-31,27.93,$1.35,20.69
2014-09-30,35.7,$1.82,19.61
2014-06-30,34.02,$1.82,18.69
2014-03-31,36.3,$1.78,20.39
2013-12-31,31.04,$1.87,16.6
2013-09-30,27.06,$1.56,17.35
2013-06-30,26.03,$1.58,16.47
2013-03-31,28.11,$1.56,18.02
2012-12-31,26.84,$1.44,18.64
2012-09-30,24.3,$1.30,18.69
2012-06-30,23.68,$1.10,21.52
2012-03-31,20.56,$0.94,21.87
2011-12-31,21.19,$0.64,33.11
2011-09-30,18.48,$0.48,38.51
2011-06-30,19.87,$0.53,37.49
2011-03-31,22.06,$0.54,40.86
2010-12-31,19.59,$0.73,26.84
2010-09-30,18.77,$0.78,24.06
2010-06-30,20.31,$0.80,25.39
2010-03-31,18.85,$0.81,23.27
2009-12-31,20.5,$0.81,25.31
