Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.6,,26.67
2024-12-31,57.43,$2.31,24.86
2024-09-30,68.05,$-1.57,0.0
2024-06-30,56.11,$-0.27,0.0
2024-03-31,58.44,$-1.18,0.0
2023-12-31,59.63,$-1.26,0.0
2023-09-30,55.57,$3.34,16.64
2023-06-30,67.05,$3.37,19.9
2023-03-31,73.32,$4.17,17.58
2022-12-31,77.83,$4.04,19.27
2022-09-30,71.83,$4.01,17.91
2022-06-30,77.26,$3.83,20.17
2022-03-31,80.09,$3.76,21.3
2021-12-31,81.98,$3.54,23.16
2021-09-30,73.19,$3.44,21.27
2021-06-30,71.32,$3.63,19.65
2021-03-31,76.41,$3.61,21.17
2020-12-31,75.75,$3.56,21.28
2020-09-30,72.67,$3.53,20.59
2020-06-30,71.94,$3.50,20.55
2020-03-31,67.08,$2.85,23.54
2019-12-31,72.52,$2.81,25.81
2019-09-30,72.4,$2.78,26.04
2019-06-30,63.76,$2.71,23.53
2019-03-31,59.28,$3.37,17.59
2018-12-31,53.93,$3.25,16.59
2018-09-30,50.56,$3.27,15.46
2018-06-30,47.84,$3.18,15.04
2018-03-31,47.67,$3.14,15.18
2017-12-31,50.67,$3.11,16.29
2017-09-30,48.12,$3.08,15.62
2017-06-30,47.97,$3.09,15.52
2017-03-31,46.09,$3.01,15.31
2016-12-31,42.95,$2.96,14.51
2016-09-30,41.79,$2.81,14.87
2016-06-30,45.82,$2.72,16.85
2016-03-31,44.27,$2.73,16.21
2015-12-31,38.44,$2.76,13.93
