Eton Pharmaceuticals PE Ratio Historical Data,Eton Pharmaceuticals PE Ratio Historical Data,Eton Pharmaceuticals PE Ratio Historical Data,Eton Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.78,,0.0
2024-12-31,13.32,$-0.13,0.0
2024-09-30,6.0,$-0.22,0.0
2024-06-30,3.29,$-0.26,0.0
2024-03-31,3.75,$0.04,93.75
2023-12-31,4.38,$-0.03,0.0
2023-09-30,4.17,$0.10,41.7
2023-06-30,3.49,0,0.0
2023-03-31,3.85,$-0.24,0.0
2022-12-31,2.82,$-0.35,0.0
2022-09-30,2.1,$-0.35,0.0
2022-06-30,2.62,$-0.47,0.0
2022-03-31,4.36,$-0.49,0.0
2021-12-31,4.29,$-0.09,0.0
2021-09-30,5.04,$-0.45,0.0
2021-06-30,6.16,$-0.52,0.0
2021-03-31,7.32,$-0.67,0.0
2020-12-31,8.13,$-1.36,0.0
2020-09-30,7.9,$-1.19,0.0
2020-06-30,5.45,$-1.16,0.0
2020-03-31,4.1,$-1.11,0.0
2019-12-31,7.2,$-1.03,0.0
2019-09-30,6.32,$-3.12,0.0
