Nature's Sunshine Products PE Ratio Historical Data,Nature's Sunshine Products PE Ratio Historical Data,Nature's Sunshine Products PE Ratio Historical Data,Nature's Sunshine Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.59,,29.98
2024-12-31,14.66,$0.42,34.9
2024-09-30,13.62,$0.88,15.48
2024-06-30,15.07,$0.80,18.84
2024-03-31,20.77,$0.85,24.44
2023-12-31,17.29,$0.77,22.45
2023-09-30,16.57,$0.41,40.41
2023-06-30,13.65,$0.26,52.5
2023-03-31,10.21,$0.17,60.06
2022-12-31,8.32,$-0.02,0.0
2022-09-30,8.24,$0.55,14.98
2022-06-30,10.67,$0.79,13.51
2022-03-31,16.82,$1.08,15.57
2021-12-31,18.5,$1.43,12.94
2021-09-30,14.65,$1.05,13.95
2021-06-30,17.37,$1.15,15.1
2021-03-31,19.96,$1.12,17.82
2020-12-31,14.17,$1.07,13.25
2020-09-30,10.97,$0.83,13.22
2020-06-30,8.54,$0.56,15.25
2020-03-31,7.71,$0.41,18.8
2019-12-31,8.47,$0.35,24.19
2019-09-30,7.86,$0.15,52.4
2019-06-30,8.81,$0.16,55.05
2019-03-31,8.81,$0.02,440.37
2018-12-31,7.73,$-0.04,0.0
2018-09-30,8.3,$-0.81,0.0
2018-06-30,8.86,$-0.76,0.0
2018-03-31,10.43,$-0.77,0.0
2017-12-31,10.95,$-0.69,0.0
2017-09-30,9.62,$-0.12,0.0
2017-06-30,12.56,$-0.03,0.0
2017-03-31,9.48,$0.12,79.0
2016-12-31,14.08,$0.12,117.32
2016-09-30,14.92,$0.66,22.6
2016-06-30,8.82,$0.59,14.94
2016-03-31,8.79,$0.58,15.15
2015-12-31,9.16,$0.77,11.9
2015-09-30,10.75,$0.38,28.28
2015-06-30,12.24,$0.29,42.2
2015-03-31,11.59,$0.36,32.19
2014-12-31,12.98,$0.64,20.28
2014-09-30,12.91,$0.95,13.58
2014-06-30,13.35,$1.18,11.32
2014-03-31,10.76,$1.36,7.92
2013-12-31,13.43,$1.08,12.44
2013-09-30,14.66,$1.25,11.73
2013-06-30,11.56,$1.36,8.5
2013-03-31,10.71,$1.44,7.44
2012-12-31,10.1,$1.60,6.31
2012-09-30,11.36,$1.80,6.31
2012-06-30,10.46,$1.26,8.31
2012-03-31,11.06,$1.16,9.54
2011-12-31,10.72,$1.13,9.48
2011-09-30,9.72,$0.61,15.94
2011-06-30,13.45,$0.38,35.4
2011-03-31,6.19,$0.09,68.75
2010-12-31,6.2,$-0.07,0.0
2010-09-30,6.17,$0.23,26.84
2010-06-30,5.78,$0.73,7.92
2010-03-31,5.75,$0.66,8.72
