GRAVITY PE Ratio Historical Data,GRAVITY PE Ratio Historical Data,GRAVITY PE Ratio Historical Data,GRAVITY PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.87,,6.56
2024-09-30,59.28,$8.98,6.6
2024-06-30,80.75,$9.62,8.39
2024-03-31,75.89,$13.23,5.74
2023-12-31,69.56,$14.39,4.83
2023-09-30,69.0,$15.56,4.43
2023-06-30,70.19,$14.09,4.98
2023-03-31,57.8,$11.10,5.21
2022-12-31,40.32,$9.02,4.47
2022-09-30,46.82,$5.65,8.29
2022-06-30,50.95,$7.23,7.05
2022-03-31,50.62,$7.18,7.05
2021-12-31,68.12,$8.24,8.27
2021-09-30,90.46,$10.03,9.02
2021-06-30,108.32,$9.93,10.91
2021-03-31,115.0,$9.62,11.95
2020-12-31,180.74,$7.70,23.47
2020-09-30,143.35,$5.80,24.72
2020-06-30,55.2,$3.78,14.6
2020-03-31,29.97,$3.61,8.3
2019-12-31,37.4,$5.02,7.45
2019-09-30,33.6,$5.80,5.79
2019-06-30,46.15,$5.58,8.27
2019-03-31,64.43,$4.92,13.1
2018-09-30,17.9,$2.76,6.49
2018-06-30,29.21,$2.39,12.22
2017-12-31,47.25,$1.81,26.1
2017-09-30,15.73,$1.13,13.92
2017-06-30,9.08,$1.16,7.83
2017-03-31,10.42,$0.51,20.43
2016-12-31,5.28,$0.02,263.75
2016-09-30,2.55,$-1.14,0.0
2016-06-30,2.35,$-1.82,0.0
2016-03-31,1.54,$-1.97,0.0
2015-12-31,1.58,$-2.10,0.0
2015-09-30,1.8,$-1.01,0.0
2015-06-30,1.83,$-1.10,0.0
2015-03-31,1.86,$-1.18,0.0
2014-12-31,2.4,$-1.24,0.0
2014-09-30,3.36,$-2.92,0.0
2014-06-30,3.2,$-2.76,0.0
2014-03-31,4.0,$-2.52,0.0
2013-12-31,3.68,$-1.92,0.0
2013-09-30,4.49,$-1.84,0.0
2013-06-30,4.68,$-1.80,0.0
2013-03-31,5.2,$-1.76,0.0
2012-12-31,5.32,$-1.80,0.0
2012-09-30,5.28,$0.64,8.25
2012-06-30,7.0,$1.28,5.47
2012-03-31,11.0,$1.68,6.55
2011-12-31,5.8,$1.84,3.15
2011-09-30,5.12,$1.08,4.74
2011-06-30,6.24,$0.96,6.5
2011-03-31,7.68,$0.80,9.6
2010-12-31,6.84,$0.52,13.15
2010-09-30,6.0,$0.44,13.64
2010-06-30,5.76,$0.12,48.0
2010-03-31,7.28,$0.28,26.0
2009-12-31,6.52,$0.24,27.17
