NewtekOne PE Ratio Historical Data,NewtekOne PE Ratio Historical Data,NewtekOne PE Ratio Historical Data,NewtekOne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.5,,6.98
2024-09-30,12.27,$1.79,6.86
2024-06-30,12.2,$1.72,7.09
2024-03-31,10.67,$1.55,6.89
2023-12-31,13.16,$1.62,8.12
2023-09-30,13.71,$1.00,13.71
2023-06-30,14.62,$1.09,13.42
2023-03-31,11.6,$1.39,8.35
2022-12-31,14.73,$1.34,10.99
2022-09-30,14.19,$2.27,6.25
2022-06-30,15.93,$2.54,6.27
2022-03-31,21.63,$2.75,7.86
2021-12-31,21.85,$3.70,5.9
2021-09-30,21.11,$3.60,5.86
2021-06-30,25.73,$2.84,9.06
2021-03-31,19.31,$3.29,5.87
2020-12-31,13.97,$1.59,8.79
2020-09-30,12.85,$1.49,8.62
2020-06-30,11.85,$2.06,5.75
2020-03-31,8.59,$1.29,6.66
2019-12-31,14.19,$2.12,6.69
2019-09-30,13.72,$1.88,7.3
2019-06-30,13.63,$1.99,6.85
2019-03-31,11.41,$1.95,5.85
2018-12-31,9.93,$1.91,5.2
2018-09-30,11.93,$2.54,4.7
2018-06-30,11.1,$2.34,4.74
2018-03-31,9.86,$2.33,4.23
2017-12-31,9.88,$2.25,4.39
2017-09-30,9.3,$1.65,5.64
2017-06-30,8.3,$1.88,4.41
2017-03-31,8.45,$1.85,4.57
2016-12-31,7.75,$1.88,4.12
2016-09-30,6.77,$2.85,2.38
2016-06-30,5.86,$2.02,2.9
2016-03-31,5.6,$2.13,2.63
2015-12-31,6.07,$2.72,2.23
2015-09-30,6.77,$1.32,5.13
2015-06-30,7.3,$1.80,4.06
2015-03-31,6.64,$1.52,4.37
2014-12-31,5.8,$0.74,7.84
2014-09-30,5.41,$1.04,5.2
2014-06-30,5.39,$0.95,5.67
2014-03-31,5.66,$1.00,5.66
2013-12-31,6.17,$1.00,6.17
2013-09-30,5.82,$0.90,6.46
2013-06-30,4.15,$0.85,4.88
2013-03-31,3.93,$0.75,5.24
2012-12-31,3.66,$0.75,4.87
2012-09-30,3.6,$0.90,4.0
2012-06-30,2.44,$0.80,3.05
2012-03-31,2.99,$0.60,4.98
2011-12-31,2.26,$0.45,5.02
2011-09-30,2.67,$0.30,8.91
2011-06-30,3.32,$0.15,22.15
2011-03-31,3.22,$0.35,9.21
2010-12-31,3.38,$0.25,13.52
2010-09-30,2.71,$0.10,27.13
2010-06-30,2.61,$0.25,10.46
2010-03-31,2.46,0,0.0
2009-12-31,1.93,$-0.10,0.0
