"Natuzzi, S.p.A PE Ratio Historical Data","Natuzzi, S.p.A PE Ratio Historical Data","Natuzzi, S.p.A PE Ratio Historical Data","Natuzzi, S.p.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.69,,inf
2024-09-30,4.35,0,0.0
2024-06-30,4.9,0,0.0
2024-03-31,6.25,0,0.0
2023-12-31,6.77,0,0.0
2023-09-30,7.05,0,0.0
2023-06-30,7.0,$0.50,14.0
2023-03-31,5.3,$0.39,13.59
2022-12-31,7.69,$0.50,15.38
2022-09-30,6.2,$0.65,9.54
2022-06-30,7.52,$-0.26,0.0
2022-03-31,11.0,$-0.21,0.0
2021-12-31,15.93,$0.34,46.85
2021-09-30,16.27,$-0.23,0.0
2021-06-30,20.18,$-0.29,0.0
2021-03-31,12.13,$-1.11,0.0
2020-12-31,12.55,$-2.54,0.0
2020-09-30,1.7,$-3.29,0.0
2020-06-30,1.1,$-3.89,0.0
2020-03-31,0.51,$-4.27,0.0
2019-09-30,1.75,$0.70,2.5
2019-06-30,2.42,$1.02,2.37
2018-12-31,3.94,$1.54,2.56
2018-09-30,6.85,$2.15,3.19
2018-06-30,7.95,$-3.20,0.0
2018-03-31,8.2,$-2.75,0.0
2017-12-31,8.0,$-3.25,0.0
2017-09-30,10.25,$-2.55,0.0
2017-06-30,13.25,$-1.40,0.0
2017-03-31,14.37,$-1.00,0.0
2016-12-31,11.3,$0.05,226.0
2016-09-30,8.75,0,0.0
2016-06-30,7.25,0,0.0
2016-03-31,7.3,0,0.0
2015-12-31,8.05,$-1.00,0.0
2015-09-30,10.25,$-2.75,0.0
2015-06-30,10.7,$-3.90,0.0
2015-03-31,8.5,$-5.75,0.0
2014-12-31,7.75,$-5.95,0.0
2014-09-30,10.15,$-7.90,0.0
2014-06-30,12.85,$-9.00,0.0
2014-03-31,14.12,$-8.85,0.0
2013-12-31,12.95,$-8.35,0.0
2013-09-30,9.0,$-6.10,0.0
2013-06-30,10.85,$-4.40,0.0
2013-03-31,11.2,$-2.75,0.0
2012-12-31,9.6,$-3.05,0.0
2012-09-30,11.25,$-3.60,0.0
2012-06-30,12.15,$-4.30,0.0
2012-03-31,13.5,$-2.75,0.0
2011-12-31,11.25,$-2.25,0.0
2011-09-30,14.25,$-0.45,0.0
2011-06-30,17.6,$0.15,117.33
2011-03-31,23.1,$-1.65,0.0
2010-12-31,16.35,$-1.30,0.0
2010-09-30,18.55,$-1.40,0.0
2010-06-30,14.75,$-0.85,0.0
2010-03-31,22.5,$-1.05,0.0
2009-12-31,16.15,$-1.90,0.0
