Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.61,,24.26
2024-12-31,37.85,$1.55,24.42
2024-09-30,40.03,$1.36,29.43
2024-06-30,33.09,$1.31,25.26
2024-03-31,29.94,$1.11,26.98
2023-12-31,28.32,$0.99,28.6
2023-09-30,30.01,$0.96,31.26
2023-06-30,27.19,$1.02,26.66
2023-03-31,23.69,$1.15,20.6
2022-12-31,23.61,$1.79,13.19
2022-09-30,24.4,$1.74,14.02
2022-06-30,22.83,$1.89,12.08
2022-03-31,24.59,$1.87,13.15
2021-12-31,22.79,$1.77,12.87
2021-09-30,22.55,$1.90,11.87
2021-06-30,26.81,$0.92,29.15
2021-03-31,26.6,$0.99,26.87
2020-12-31,25.9,$0.69,37.54
2020-09-30,20.87,$0.69,30.24
2020-06-30,20.3,$1.72,11.8
2020-03-31,17.72,$1.63,10.87
2019-12-31,27.83,$1.58,17.62
2019-09-30,27.05,$1.62,16.7
2019-06-30,23.37,$1.27,18.4
2019-03-31,23.81,$1.32,18.04
2018-12-31,21.58,$1.40,15.41
2018-09-30,19.72,$1.40,14.09
2018-06-30,18.25,$0.45,40.55
2018-03-31,15.52,$0.39,39.8
2017-12-31,15.42,$0.50,30.84
2017-09-30,17.5,$0.82,21.34
2017-06-30,17.74,$1.89,9.39
2017-03-31,17.4,$2.13,8.17
2016-12-31,16.18,$1.89,8.56
2016-09-30,17.99,$1.57,11.46
2016-06-30,16.93,$1.60,10.58
2016-03-31,17.31,$1.25,13.85
2015-12-31,16.85,$1.28,13.16
2015-09-30,16.67,$1.41,11.82
2015-06-30,16.03,$1.46,10.98
2015-03-31,18.86,$1.61,11.71
2014-12-31,17.79,$1.74,10.22
2014-09-30,15.36,$1.68,9.14
2014-06-30,16.33,$1.52,10.75
2014-03-31,14.65,$1.57,9.33
2013-12-31,12.82,$1.46,8.78
2013-09-30,12.67,$1.38,9.18
2013-06-30,12.97,$1.33,9.75
2013-03-31,12.51,$1.20,10.43
2012-12-31,9.66,$1.11,8.71
2012-09-30,9.04,$1.00,9.04
2012-06-30,8.79,$0.94,9.35
2012-03-31,8.15,$0.82,9.93
2011-12-31,7.27,$0.46,15.81
2011-09-30,5.86,$0.30,19.52
2011-06-30,7.57,$0.24,31.54
2011-03-31,7.93,$0.21,37.74
2010-12-31,7.83,$0.53,14.77
2010-09-30,7.71,$0.66,11.68
2010-06-30,6.73,$0.73,9.22
2010-03-31,6.48,$0.80,8.1
2009-12-31,6.36,$0.87,7.31
