Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data,Murphy Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.83,,9.97
2024-12-31,30.26,$2.69,11.25
2024-09-30,33.44,$3.10,10.79
2024-06-30,40.55,$3.80,10.67
2024-03-31,44.62,$3.59,12.43
2023-12-31,41.34,$4.22,9.8
2023-09-30,43.66,$4.73,9.23
2023-06-30,36.65,$6.46,5.67
2023-03-31,35.09,$8.07,4.35
2022-12-31,40.56,$6.12,6.63
2022-09-30,32.99,$5.94,5.55
2022-06-30,28.12,$3.28,8.57
2022-03-31,37.43,$0.64,58.49
2021-12-31,24.09,$-0.50,0.0
2021-09-30,22.94,$-2.69,0.0
2021-06-30,21.27,$-4.98,0.0
2021-03-31,14.9,$-6.63,0.0
2020-12-31,10.89,$-7.47,0.0
2020-09-30,7.91,$-6.82,0.0
2020-06-30,12.14,$1.53,7.94
2020-03-31,5.34,$4.14,1.29
2019-12-31,23.07,$7.08,3.26
2019-09-30,18.84,$8.13,2.32
2019-06-30,20.73,$1.91,10.85
2019-03-31,24.41,$1.62,15.07
2018-12-31,19.32,$2.35,8.22
2018-09-30,27.31,$0.10,273.15
2018-06-30,27.45,$-0.82,0.0
2018-03-31,20.83,$-1.18,0.0
2017-12-31,24.79,$-1.80,0.0
2017-09-30,21.03,$-0.51,0.0
2017-06-30,20.1,$-0.22,0.0
2017-03-31,22.21,$-0.10,0.0
2016-12-31,23.97,$-1.60,0.0
2016-09-30,23.2,$-4.64,0.0
2016-06-30,24.02,$-13.81,0.0
2016-03-31,18.84,$-14.25,0.0
2015-12-31,16.43,$-13.17,0.0
2015-09-30,17.5,$-7.66,0.0
2015-06-30,29.74,$2.97,10.01
2015-03-31,33.08,$4.11,8.05
2014-12-31,35.62,$5.04,7.07
2014-09-30,39.86,$3.34,11.93
2014-06-30,46.3,$3.48,13.3
2014-03-31,43.55,$4.88,8.92
2013-12-31,44.71,$5.91,7.56
2013-09-30,41.35,$6.33,6.53
2013-06-30,35.99,$5.98,6.02
2013-03-31,37.49,$5.38,6.97
2012-12-31,34.85,$4.99,6.98
2012-09-30,29.89,$3.58,8.35
2012-06-30,27.84,$4.51,6.17
2012-03-31,30.97,$4.59,6.75
2011-12-31,30.54,$4.48,6.82
2011-09-30,24.07,$5.97,4.03
2011-06-30,35.6,$4.93,7.22
2011-03-31,39.65,$4.74,8.37
2010-12-31,40.1,$4.13,9.71
2010-09-30,33.17,$4.88,6.8
2010-06-30,26.41,$4.81,5.49
2010-03-31,29.82,$4.23,7.05
2009-12-31,28.62,$4.35,6.58
