Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.38,,15.76
2024-12-31,112.06,$6.18,18.13
2024-09-30,102.2,$5.31,19.25
2024-06-30,96.27,$5.46,17.63
2024-03-31,132.71,$5.04,26.33
2023-12-31,125.86,$3.78,33.3
2023-09-30,114.13,$3.34,34.17
2023-06-30,97.25,$3.00,32.42
2023-03-31,103.63,$-0.47,0.0
2022-12-31,97.56,$0.44,221.72
2022-09-30,105.85,$0.22,481.15
2022-06-30,108.19,$0.18,601.03
2022-03-31,133.53,$3.49,38.26
2021-12-31,131.65,$3.28,40.14
2021-09-30,153.17,$3.17,48.32
2021-06-30,182.02,$2.90,62.77
2021-03-31,195.45,$2.13,91.76
2020-12-31,208.68,$1.95,107.01
2020-09-30,171.85,$1.68,102.29
2020-06-30,163.96,$1.48,110.78
2020-03-31,139.26,$2.13,65.38
2019-12-31,176.05,$2.36,74.6
2019-09-30,153.16,$2.49,61.51
2019-06-30,154.24,$3.06,50.41
2019-03-31,131.49,$2.97,44.27
2018-12-31,99.32,$2.83,35.1
2018-09-30,122.69,$3.87,31.7
2018-06-30,107.36,$3.47,30.94
2018-03-31,107.38,$3.23,33.24
2017-12-31,96.51,$2.98,32.38
2017-09-30,91.48,$1.79,51.11
2017-06-30,86.94,$1.08,80.5
2017-03-31,77.65,$1.19,65.25
2016-12-31,66.79,$0.87,76.77
2016-11-30,65.97,$0.81,81.44
2016-09-30,73.86,$0.81,91.18
2016-08-31,73.08,$0.79,92.5
2016-06-30,68.67,$0.79,86.92
2016-05-31,74.74,$0.53,141.02
2016-03-31,62.81,$0.53,118.51
2016-02-29,58.63,0,0.0
2015-11-30,68.14,0,0.0
2015-08-31,53.56,0,0.0
2015-05-31,50.18,0,0.0
2015-02-28,44.15,0,0.0
2014-11-30,41.5,0,0.0
2014-08-31,34.93,0,0.0
2014-05-31,32.93,0,0.0
2014-02-28,33.77,0,0.0
2013-11-30,30.26,0,0.0
2013-08-31,22.86,0,0.0
2013-05-31,23.0,0,0.0
2013-02-28,23.11,0,0.0
2012-11-30,21.04,0,0.0
2012-08-31,19.95,0,0.0
2012-05-31,20.34,0,0.0
2012-02-29,24.7,0,0.0
2011-11-30,21.16,0,0.0
2011-08-31,21.91,0,0.0
2011-05-31,24.83,0,0.0
2011-02-28,22.93,0,0.0
2010-11-30,19.85,0,0.0
2010-08-31,17.96,0,0.0
2010-05-31,20.13,0,0.0
2010-02-28,20.41,0,0.0
2009-11-30,24.43,0,0.0
