Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.96,,15.11
2024-12-31,17.52,$0.99,17.7
2024-09-30,17.6,$1.03,17.09
2024-06-30,17.78,$1.07,16.61
2024-03-31,20.22,$1.02,19.83
2023-12-31,18.86,$1.04,18.13
2023-09-30,15.22,$1.05,14.49
2023-06-30,15.76,$1.05,15.01
2023-03-31,15.31,$1.12,13.67
2022-12-31,14.79,$0.88,16.8
2022-09-30,14.34,$1.13,12.69
2022-06-30,14.05,$0.80,17.56
2022-03-31,17.35,$0.35,49.56
2021-12-31,15.5,$-0.03,0.0
2021-09-30,14.56,$-0.57,0.0
2021-06-30,15.23,$-0.84,0.0
2021-03-31,15.02,$-1.25,0.0
2020-12-31,13.04,$-1.03,0.0
2020-09-30,9.62,$-0.83,0.0
2020-06-30,9.62,$0.12,80.15
2020-03-31,9.84,$1.01,9.74
2019-12-31,16.25,$1.26,12.9
2019-09-30,14.95,$1.56,9.58
2019-06-30,15.57,$1.48,10.52
2019-03-31,15.97,$1.37,11.66
2018-12-31,13.94,$1.46,9.55
2018-09-30,17.38,$1.17,14.86
2018-06-30,17.2,$0.88,19.54
2018-03-31,15.07,$0.88,17.12
2017-12-31,15.88,$0.75,21.17
2017-09-30,14.61,$0.80,18.26
2017-06-30,14.28,$0.80,17.85
2017-03-31,14.43,$0.99,14.57
2016-12-31,14.41,$1.02,14.13
2016-09-30,11.75,$1.07,10.98
2016-06-30,12.08,$1.04,11.61
2016-03-31,12.28,$0.85,14.45
2015-12-31,11.15,$0.74,15.06
2015-09-30,11.35,$0.85,13.35
2015-06-30,14.05,$0.93,15.11
2015-03-31,14.16,$0.86,16.46
2014-12-31,16.51,$0.97,17.02
2014-09-30,14.66,$0.80,18.32
2014-06-30,14.99,$0.64,23.42
2014-03-31,13.69,$0.59,23.2
2013-12-31,13.05,$0.43,30.36
2013-09-30,11.79,$0.29,40.64
2013-06-30,11.18,$0.21,53.23
2013-03-31,11.51,$0.16,71.95
2012-12-31,10.25,$0.08,128.18
2012-09-30,10.44,$0.08,130.54
2012-06-30,10.24,$0.08,128.03
2012-03-31,10.58,$0.06,176.36
2011-12-31,9.48,$-0.03,0.0
2011-09-30,7.0,$-0.06,0.0
2011-06-30,10.81,$-0.10,0.0
2011-03-31,11.21,$-0.17,0.0
2010-12-31,11.36,$-0.21,0.0
2010-09-30,9.2,$-0.32,0.0
2010-06-30,8.56,$-0.32,0.0
2010-03-31,9.29,$-0.46,0.0
2009-12-31,7.4,$-0.45,0.0
