ESCO Technologies PE Ratio Historical Data,ESCO Technologies PE Ratio Historical Data,ESCO Technologies PE Ratio Historical Data,ESCO Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,161.48,,37.91
2024-12-31,133.21,$4.26,31.27
2024-09-30,128.9,$3.94,32.72
2024-06-30,104.89,$3.86,27.17
2024-03-31,106.9,$3.81,28.06
2023-12-31,116.7,$3.60,32.42
2023-09-30,104.06,$3.58,29.07
2023-06-30,103.17,$3.53,29.23
2023-03-31,95.03,$3.34,28.45
2022-12-31,87.0,$3.29,26.44
2022-09-30,72.91,$3.16,23.07
2022-06-30,67.8,$2.75,24.65
2022-03-31,69.26,$2.43,28.5
2021-12-31,89.06,$2.41,36.95
2021-09-30,76.2,$2.49,30.6
2021-06-30,92.74,$0.90,103.04
2021-03-31,107.56,$1.05,102.43
2020-12-31,101.88,$1.11,91.78
2020-09-30,79.45,$3.91,20.32
2020-06-30,83.2,$5.67,14.67
2020-03-31,74.63,$5.72,13.05
2019-12-31,90.94,$5.76,15.79
2019-09-30,78.07,$3.10,25.18
2019-06-30,81.0,$3.24,25.0
2019-03-31,65.64,$3.20,20.51
2018-12-31,64.5,$2.86,22.55
2018-09-30,66.47,$3.53,18.83
2018-06-30,56.28,$3.18,17.7
2018-03-31,57.03,$2.94,19.4
2017-12-31,58.61,$2.99,19.6
2017-09-30,58.24,$2.07,28.14
2017-06-30,57.95,$1.98,29.27
2017-03-31,56.37,$1.93,29.21
2016-12-31,54.89,$1.83,29.99
2016-09-30,44.91,$1.76,25.52
2016-06-30,38.58,$1.11,34.75
2016-03-31,37.57,$1.12,33.55
2015-12-31,34.76,$1.11,31.32
2015-09-30,34.46,$1.18,29.2
2015-06-30,35.83,$1.61,22.25
2015-03-31,37.25,$1.59,23.43
2014-12-31,35.19,$0.01,0.0
2014-09-30,33.1,$0.02,1654.98
2014-06-30,32.81,$0.11,298.32
2014-03-31,33.18,$-0.14,0.0
2013-12-31,32.38,$1.18,27.44
2013-09-30,31.26,$0.77,40.6
2013-06-30,30.39,$0.90,33.76
2013-03-31,38.27,$1.23,31.11
2012-12-31,34.96,$1.55,22.56
2012-09-30,36.23,$1.73,20.94
2012-06-30,33.91,$1.65,20.55
2012-03-31,34.14,$1.63,20.95
2011-12-31,26.65,$1.74,15.32
2011-09-30,23.54,$1.95,12.07
2011-06-30,33.9,$2.27,14.93
2011-03-31,35.07,$2.33,15.05
2010-12-31,34.71,$2.06,16.85
2010-09-30,30.43,$1.68,18.12
2010-06-30,23.49,$1.61,14.59
2010-03-31,29.02,$1.49,19.47
2009-12-31,32.62,$1.66,19.65
