Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,78.52,,19.2
2024-12-31,67.72,$4.09,16.56
2024-09-30,68.61,$3.56,19.27
2024-06-30,62.2,$3.46,17.98
2024-03-31,63.48,$3.75,16.93
2023-12-31,62.7,$3.85,16.29
2023-09-30,61.45,$4.16,14.77
2023-06-30,62.3,$4.37,14.26
2023-03-31,81.8,$4.45,18.38
2022-12-31,79.18,$4.66,16.99
2022-09-30,68.28,$4.43,15.41
2022-06-30,71.15,$4.42,16.1
2022-03-31,67.91,$4.31,15.76
2021-12-31,62.31,$4.04,15.42
2021-09-30,49.45,$3.93,12.58
2021-06-30,48.33,$4.03,11.99
2021-03-31,52.57,$4.33,12.14
2020-12-31,44.22,$4.42,10.0
2020-09-30,44.1,$4.39,10.05
2020-06-30,45.77,$3.76,12.17
2020-03-31,37.83,$2.98,12.7
2019-12-31,36.47,$2.52,14.47
2019-09-30,34.09,$2.31,14.76
2019-06-30,32.27,$2.31,13.97
2019-03-31,36.17,$2.26,16.01
2018-12-31,42.1,$2.33,18.07
2018-09-30,38.0,$4.21,9.03
2018-06-30,46.43,$3.84,12.09
2018-03-31,35.44,$3.82,9.28
2017-12-31,35.52,$3.66,9.7
2017-09-30,37.05,$2.81,13.19
2017-06-30,41.24,$3.05,13.52
2017-03-31,50.23,$2.93,17.14
2016-12-31,56.01,$3.24,17.29
2016-09-30,44.17,$2.33,18.96
2016-06-30,41.89,$2.41,17.38
2016-03-31,37.1,$2.45,15.14
2015-12-31,36.19,$2.19,16.53
2015-09-30,33.87,$2.09,16.2
2015-06-30,33.95,$2.12,16.02
2015-03-31,39.81,$1.99,20.01
2014-12-31,38.02,$2.05,18.54
2014-09-30,30.82,$2.13,14.47
2014-06-30,35.86,$2.05,17.49
2014-03-31,38.37,$2.47,15.53
2013-12-31,40.69,$2.67,15.24
2013-09-30,37.67,$2.91,12.94
2013-06-30,34.48,$3.12,11.05
2013-03-31,30.92,$3.08,10.04
2012-12-31,29.54,$3.07,9.62
2012-09-30,31.69,$2.96,10.7
2012-06-30,33.1,$2.95,11.22
2012-03-31,32.2,$2.86,11.26
2011-12-31,29.29,$2.81,10.42
2011-09-30,25.65,$2.61,9.83
2011-06-30,27.99,$2.59,10.81
2011-03-31,27.61,$2.58,10.7
2010-12-31,27.32,$2.54,10.76
2010-09-30,26.31,$2.60,10.12
2010-06-30,21.95,$2.57,8.54
2010-03-31,24.06,$2.37,10.15
2009-12-31,23.85,$2.33,10.24
