Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.47,,14.46
2024-12-31,28.02,$1.83,15.31
2024-09-30,31.29,$2.12,14.76
2024-06-30,28.48,$2.70,10.55
2024-03-31,31.95,$2.81,11.37
2023-12-31,31.62,$2.85,11.1
2023-09-30,27.49,$2.40,11.45
2023-06-30,36.66,$2.41,15.21
2023-03-31,35.1,$2.31,15.19
2022-12-31,31.12,$2.38,13.08
2022-09-30,23.72,$2.52,9.41
2022-06-30,25.24,$2.48,10.18
2022-03-31,32.2,$2.56,12.58
2021-12-31,33.75,$2.39,14.12
2021-09-30,32.78,$1.77,18.52
2021-06-30,28.84,$1.88,15.34
2021-03-31,25.71,$1.10,23.37
2020-12-31,20.5,$0.88,23.29
2020-09-30,14.36,$1.44,9.98
2020-06-30,14.58,$1.15,12.68
2020-03-31,13.55,$1.70,7.97
2019-12-31,19.11,$1.67,11.44
2019-09-30,17.65,$1.67,10.57
2019-06-30,18.27,$1.66,11.01
2019-03-31,16.81,$1.60,10.51
2018-12-31,16.34,$1.58,10.34
2018-09-30,17.95,$1.55,11.58
2018-06-30,18.24,$1.51,12.08
2018-03-31,17.75,$1.38,12.86
2017-12-31,15.4,$1.47,10.48
2017-09-30,15.74,$1.44,10.93
2017-06-30,18.46,$1.39,13.28
2017-03-31,18.3,$1.53,11.96
2016-12-31,17.31,$1.49,11.62
2016-09-30,16.43,$1.34,12.26
2016-06-30,16.87,$1.20,14.06
2016-03-31,16.65,$1.11,15.0
2015-12-31,16.78,$1.10,15.25
2015-09-30,13.71,$1.20,11.43
2015-06-30,13.73,$1.23,11.16
2015-03-31,15.67,$1.17,13.39
2014-12-31,14.63,$1.12,13.07
2014-09-30,12.85,$0.83,15.48
2014-06-30,13.62,$0.73,18.65
2014-03-31,11.9,$0.68,17.5
2013-12-31,12.23,$0.59,20.72
2013-09-30,11.81,$0.83,14.23
2013-06-30,9.96,$0.87,11.45
2013-03-31,8.87,$0.91,9.75
2012-12-31,7.46,$0.95,7.85
2012-09-30,7.49,$0.76,9.85
2012-06-30,7.26,$1.01,7.19
2012-03-31,7.59,$0.98,7.75
2011-12-31,6.44,$0.98,6.57
2011-09-30,4.74,$0.85,5.57
2011-06-30,8.16,$0.53,15.4
2011-03-31,8.16,$0.49,16.66
2010-12-31,6.86,$0.44,15.6
2010-09-30,6.48,$0.32,20.26
2010-06-30,4.61,$0.27,17.07
2010-03-31,5.38,$0.16,33.61
2009-12-31,4.77,$0.15,31.8
