Orange County Bancorp PE Ratio Historical Data,Orange County Bancorp PE Ratio Historical Data,Orange County Bancorp PE Ratio Historical Data,Orange County Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.42,,9.54
2024-09-30,60.32,$2.56,23.56
2024-06-30,52.88,$3.08,17.17
2024-03-31,46.0,$3.16,14.58
2023-12-31,60.24,$2.62,23.04
2023-09-30,43.17,$2.70,15.99
2023-06-30,37.0,$2.60,14.26
2023-03-31,44.0,$1.98,22.22
2022-12-31,46.58,$2.17,21.47
2022-09-30,38.5,$1.85,20.81
2022-06-30,37.75,$1.68,22.47
