Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data,Gildan Activewear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.01,,18.4
2024-12-31,47.05,$2.50,18.82
2024-09-30,46.92,$2.53,18.54
2024-06-30,37.58,$2.44,15.4
2024-03-31,36.59,$2.96,12.36
2023-12-31,32.38,$3.03,10.69
2023-09-30,27.29,$2.61,10.46
2023-06-30,31.21,$2.72,11.48
2023-03-31,31.93,$2.70,11.82
2022-12-31,26.2,$2.93,8.94
2022-09-30,26.87,$3.35,8.02
2022-06-30,27.21,$3.46,7.86
2022-03-31,35.23,$3.35,10.52
2021-12-31,39.66,$3.08,12.88
2021-09-30,34.04,$2.53,13.45
2021-06-30,34.18,$1.86,18.37
2021-03-31,28.26,$-0.14,0.0
2020-12-31,25.82,$-1.14,0.0
2020-09-30,18.13,$-1.32,0.0
2020-06-30,14.28,$-1.09,0.0
2020-03-31,11.76,$0.66,17.82
2019-12-31,27.0,$1.27,21.26
2019-09-30,32.3,$1.40,23.07
2019-06-30,35.06,$1.44,24.35
2019-03-31,32.49,$1.46,22.25
2018-12-31,27.32,$1.66,16.46
2018-09-30,27.29,$1.62,16.84
2018-06-30,25.16,$1.59,15.82
2018-03-31,25.71,$1.56,16.48
2017-12-31,28.63,$1.61,17.78
2017-09-30,27.64,$1.68,16.45
2017-06-30,27.07,$1.65,16.41
2017-03-31,23.74,$1.57,15.12
2016-12-31,22.19,$1.47,15.1
2016-09-30,24.38,$1.43,17.05
2016-06-30,25.51,$1.44,17.72
2016-03-31,26.47,$1.45,18.26
2015-12-31,24.59,$1.42,17.31
2015-09-30,26.04,$0.97,26.84
2015-06-30,28.64,$0.97,29.52
2015-03-31,25.38,$1.03,24.64
2014-12-31,24.26,$1.12,21.66
2014-09-30,23.42,$1.46,16.04
2014-06-30,25.15,$1.36,18.49
2014-03-31,21.48,$1.36,15.79
2013-12-31,22.68,$1.34,16.92
2013-09-30,19.71,$1.32,14.93
2013-06-30,17.16,$1.29,13.3
2013-03-31,16.87,$1.14,14.8
2012-12-31,15.43,$0.95,16.24
2012-09-30,13.33,$0.61,21.85
2012-06-30,11.55,$0.44,26.25
2012-03-31,11.52,$0.51,22.59
2011-12-31,7.83,$0.65,12.05
2011-09-30,10.73,$0.99,10.84
2011-06-30,14.56,$1.03,14.13
2011-03-31,13.53,$0.91,14.87
2010-12-31,11.74,$0.86,13.65
2010-09-30,11.57,$0.83,13.94
2010-06-30,11.8,$0.77,15.33
2010-03-31,10.83,$0.67,16.16
2009-12-31,10.04,$0.50,20.09
