GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.81,,18.89
2024-12-31,78.18,$4.33,18.06
2024-09-30,93.85,$3.64,25.78
2024-06-30,77.92,$3.44,22.65
2024-03-31,90.91,$3.42,26.58
2023-12-31,77.32,$3.02,25.6
