C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.3,,25.79
2024-12-31,103.32,$3.85,26.84
2024-09-30,109.72,$2.89,37.97
2024-06-30,87.07,$2.77,31.43
2024-03-31,74.71,$2.53,29.53
2023-12-31,84.07,$2.71,31.02
2023-09-30,83.2,$3.25,25.6
2023-06-30,90.53,$4.35,20.81
2023-03-31,94.74,$6.21,15.26
2022-12-31,86.77,$7.30,11.89
2022-09-30,90.71,$8.24,11.01
2022-06-30,95.02,$8.31,11.43
2022-03-31,100.45,$7.08,14.19
2021-12-31,99.84,$6.31,15.82
2021-09-30,80.28,$5.65,14.21
2021-06-30,85.95,$4.80,17.91
2021-03-31,87.1,$4.42,19.71
2020-12-31,85.21,$3.71,22.97
2020-09-30,92.25,$3.36,27.46
2020-06-30,71.0,$3.43,20.7
2020-03-31,59.09,$3.59,16.46
2019-12-31,69.27,$4.18,16.57
2019-09-30,74.6,$4.79,15.57
2019-06-30,73.78,$4.97,14.84
2019-03-31,75.61,$4.88,15.49
2018-12-31,72.69,$4.73,15.37
2018-09-30,84.15,$4.47,18.83
2018-06-30,71.55,$4.07,17.58
2018-03-31,79.73,$3.72,21.43
2017-12-31,75.41,$3.57,21.12
2017-09-30,64.07,$3.35,19.13
2017-06-30,57.47,$3.40,16.9
2017-03-31,64.25,$3.62,17.75
2016-12-31,60.56,$3.59,16.87
2016-09-30,57.89,$3.61,16.04
2016-06-30,60.63,$3.67,16.52
2016-03-31,60.27,$3.61,16.69
2015-12-31,50.05,$3.51,14.26
2015-09-30,54.28,$3.40,15.97
2015-06-30,49.73,$3.29,15.11
2015-03-31,58.02,$3.15,18.42
2014-12-31,59.04,$3.05,19.36
2014-09-30,52.01,$2.90,17.93
2014-06-30,49.76,$2.74,18.16
2014-03-31,40.63,$2.64,15.39
2013-12-31,44.95,$2.65,16.96
2013-09-30,45.62,$3.61,12.64
2013-06-30,42.85,$3.64,11.77
2013-03-31,44.97,$3.65,12.32
2012-12-31,47.52,$3.66,12.98
2012-09-30,43.78,$2.75,15.92
2012-06-30,43.49,$2.73,15.93
2012-03-31,48.39,$2.69,17.99
2011-12-31,51.31,$2.63,19.51
2011-09-30,50.1,$2.58,19.42
2011-06-30,57.45,$2.50,22.98
2011-03-31,53.82,$2.42,22.24
2010-12-31,57.98,$2.33,24.88
2010-09-30,50.18,$2.23,22.5
2010-06-30,39.8,$2.18,18.26
2010-03-31,39.76,$2.13,18.67
2009-12-31,41.62,$2.13,19.54
