Regis PE Ratio Historical Data,Regis PE Ratio Historical Data,Regis PE Ratio Historical Data,Regis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.21,,0.46
2024-12-31,23.72,$39.45,0.6
2024-09-30,27.51,$37.17,0.74
2024-06-30,23.0,$38.13,0.6
2024-03-31,7.5,$-1.97,0.0
2023-12-31,9.45,$-1.77,0.0
2023-09-30,14.06,$-3.20,0.0
2023-06-30,22.2,$-3.20,0.0
2023-03-31,22.2,$-19.80,0.0
2022-12-31,24.4,$-31.20,0.0
2022-09-30,20.2,$-32.40,0.0
2022-06-30,21.6,$-38.60,0.0
2022-03-31,42.4,$-39.00,0.0
2021-12-31,34.8,$-32.80,0.0
2021-09-30,69.6,$-49.00,0.0
2021-06-30,187.2,$-63.00,0.0
2021-03-31,251.2,$-85.00,0.0
2020-12-31,183.8,$-121.00,0.0
2020-09-30,122.8,$-107.80,0.0
2020-06-30,163.6,$-95.80,0.0
2020-03-31,118.2,$-57.60,0.0
2019-12-31,357.4,$-22.80,0.0
2019-09-30,404.4,$-14.60,0.0
2019-06-30,332.0,$-7.40,0.0
2019-03-31,393.4,$-2.60,0.0
2018-12-31,339.0,$2.20,154.09
2018-09-30,408.6,$13.00,31.43
2018-06-30,330.8,$3.60,91.89
2018-03-31,302.6,$2.20,137.55
2017-12-31,307.2,$-3.40,0.0
2017-09-30,285.4,$-18.20,0.0
2017-06-30,205.4,$-7.00,0.0
2017-03-31,234.4,$-5.20,0.0
2016-12-31,290.4,$2.00,145.2
2016-09-30,251.0,$-2.80,0.0
2016-06-30,249.0,$-4.60,0.0
2016-03-31,303.8,$-8.00,0.0
2015-12-31,283.0,$-8.60,0.0
2015-09-30,262.0,$-9.80,0.0
2015-06-30,315.2,$-12.60,0.0
2015-03-31,327.2,$-17.60,0.0
2014-12-31,335.2,$-19.60,0.0
2014-09-30,319.2,$-51.60,0.0
2014-06-30,281.6,$-48.40,0.0
2014-03-31,274.0,$-42.20,0.0
2013-12-31,290.2,$-38.00,0.0
2013-09-30,292.38,$-3.40,0.0
2013-06-30,325.84,$5.60,58.18
2013-03-31,359.82,$-16.80,0.0
2012-12-31,333.59,$-18.00,0.0
2012-09-30,361.07,$-33.80,0.0
2012-06-30,351.65,$-39.80,0.0
2012-03-31,359.66,$-23.40,0.0
2011-12-31,321.86,$-32.00,0.0
2011-09-30,273.07,$-7.00,0.0
2011-06-30,295.63,$-4.00,0.0
2011-03-31,341.06,$7.80,43.73
2010-12-31,318.04,$16.80,18.93
2010-09-30,365.83,$18.00,20.32
2010-06-30,297.09,$14.80,20.07
2010-03-31,355.68,$6.60,53.89
2009-12-31,295.7,$10.80,27.38
