Build-A-Bear Workshop PE Ratio Historical Data,Build-A-Bear Workshop PE Ratio Historical Data,Build-A-Bear Workshop PE Ratio Historical Data,Build-A-Bear Workshop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.1,,9.87
2024-10-31,37.89,$3.76,10.08
2024-07-31,26.81,$3.56,7.53
2024-04-30,29.58,$3.49,8.47
2024-01-31,21.95,$3.65,6.01
2023-10-31,24.16,$3.47,6.96
2023-07-31,23.92,$3.45,6.93
2023-04-30,22.6,$3.26,6.93
2023-01-31,22.5,$3.17,7.1
2022-10-31,16.11,$3.26,4.94
2022-07-31,14.63,$3.11,4.7
2022-04-30,17.35,$3.15,5.51
2022-01-31,16.34,$2.92,5.6
2021-10-31,13.57,$2.01,6.75
2021-07-31,13.15,$1.76,7.47
2021-04-30,6.96,$0.41,16.97
2021-01-31,4.85,$-1.67,0.0
2020-10-31,3.57,$-1.82,0.0
2020-07-31,2.04,$-2.33,0.0
2020-04-30,2.2,$-1.48,0.0
2020-01-31,3.62,$0.02,180.86
2019-10-31,3.01,$-1.12,0.0
2019-07-31,3.69,$-1.14,0.0
2019-04-30,4.85,$-1.18,0.0
2019-01-31,4.09,$-1.24,0.0
2018-10-31,7.41,$-0.19,0.0
2018-07-31,7.01,$0.23,30.47
2018-04-30,7.87,$0.44,17.9
2018-01-31,7.44,$0.42,17.72
2017-12-31,7.96,$-0.01,0.0
2017-10-31,6.75,$-0.01,0.0
2017-09-30,7.92,$0.07,113.11
2017-07-31,8.31,$0.07,118.67
2017-06-30,9.04,$0.17,53.19
2017-04-30,9.0,$0.17,52.94
2017-03-31,7.66,0,0.0
2016-12-31,11.9,0,0.0
2016-09-30,8.96,0,0.0
2016-06-30,11.61,0,0.0
2016-03-31,11.24,0,0.0
2015-12-31,10.59,0,0.0
2015-09-30,16.35,0,0.0
2015-06-30,13.84,0,0.0
2015-03-31,17.0,0,0.0
2014-12-31,17.39,0,0.0
2014-09-30,11.32,0,0.0
2014-06-30,11.56,0,0.0
2014-03-31,8.33,0,0.0
2013-12-31,6.53,0,0.0
2013-09-30,6.04,0,0.0
2013-06-30,5.25,0,0.0
2013-03-31,4.66,0,0.0
2012-12-31,3.31,0,0.0
2012-09-30,3.37,0,0.0
2012-06-30,4.14,0,0.0
2012-03-31,4.54,0,0.0
2011-12-31,7.32,0,0.0
2011-09-30,4.41,0,0.0
2011-06-30,5.63,0,0.0
2011-03-31,5.24,0,0.0
2010-12-31,6.61,0,0.0
2010-09-30,5.24,0,0.0
2010-06-30,5.87,0,0.0
2010-03-31,6.16,0,0.0
2009-12-31,4.23,0,0.0
