PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,173.41,,12.61
2024-12-31,192.85,$13.75,14.03
2024-09-30,183.31,$11.83,15.49
2024-06-30,152.74,$11.94,12.79
2024-03-31,157.13,$11.91,13.19
2023-12-31,149.02,$12.79,11.65
2023-09-30,116.61,$14.41,8.09
2023-06-30,118.18,$14.59,8.1
2023-03-31,117.84,$14.62,8.06
2022-12-31,145.11,$13.87,10.46
2022-09-30,135.92,$13.26,10.25
2022-06-30,142.16,$12.78,11.12
2022-03-31,164.83,$11.82,13.94
2021-12-31,178.18,$12.69,14.04
2021-09-30,172.78,$13.09,13.2
2021-06-30,167.37,$13.18,12.7
2021-03-31,152.89,$19.15,7.98
2020-12-31,128.92,$17.00,7.58
2020-09-30,94.11,$16.71,5.63
2020-06-30,89.11,$16.26,5.48
2020-03-31,80.07,$10.74,7.46
2019-12-31,132.54,$11.40,11.63
2019-09-30,115.43,$11.18,10.32
2019-06-30,112.13,$11.06,10.14
2019-03-31,99.47,$10.90,9.13
2018-12-31,94.07,$10.72,8.78
2018-09-30,108.76,$12.15,8.95
2018-06-30,107.16,$11.49,9.33
2018-03-31,119.35,$10.87,10.98
2017-12-31,113.31,$10.40,10.89
2017-09-30,105.25,$8.19,12.85
2017-06-30,96.94,$7.87,12.32
2017-03-31,92.91,$7.59,12.24
2016-12-31,89.95,$7.31,12.31
2016-09-30,68.86,$7.21,9.55
2016-06-30,61.8,$7.27,8.5
2016-03-31,63.83,$7.33,8.71
2015-12-31,71.52,$7.40,9.66
2015-09-30,66.55,$7.37,9.03
2015-06-30,70.99,$7.26,9.78
2015-03-31,68.82,$7.23,9.52
2014-12-31,66.96,$7.30,9.17
2014-09-30,62.45,$7.31,8.54
2014-06-30,64.62,$7.31,8.84
2014-03-31,62.76,$7.45,8.42
2013-12-31,55.65,$7.39,7.53
2013-09-30,51.66,$6.78,7.62
2013-06-30,51.69,$6.63,7.8
2013-03-31,46.82,$5.63,8.32
2012-12-31,40.78,$5.32,7.67
2012-09-30,43.86,$4.93,8.9
2012-06-30,42.2,$4.84,8.72
2012-03-31,44.24,$5.52,8.01
2011-12-31,39.34,$5.64,6.98
2011-09-30,32.64,$6.31,5.17
2011-06-30,40.13,$6.84,5.87
2011-03-31,42.17,$6.64,6.35
2010-12-31,40.58,$5.73,7.08
2010-09-30,34.63,$6.38,5.43
2010-06-30,37.63,$5.30,7.1
2010-03-31,39.7,$3.97,10.0
2009-12-31,35.04,$4.34,8.07
