Washington Trust Bancorp PE Ratio Historical Data,Washington Trust Bancorp PE Ratio Historical Data,Washington Trust Bancorp PE Ratio Historical Data,Washington Trust Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.54,,0.0
2024-12-31,31.35,$-1.55,0.0
2024-09-30,31.63,$2.67,11.85
2024-06-30,26.36,$2.68,9.83
2024-03-31,25.85,$2.71,9.54
2023-12-31,30.5,$2.81,10.85
2023-09-30,24.38,$3.00,8.13
2023-06-30,24.31,$3.43,7.09
2023-03-31,30.78,$3.91,7.87
2022-12-31,41.23,$4.11,10.03
2022-09-30,40.15,$4.31,9.31
2022-06-30,41.3,$4.30,9.6
2022-03-31,44.33,$4.16,10.66
2021-12-31,47.11,$4.39,10.73
2021-09-30,43.86,$4.31,10.18
2021-06-30,42.1,$4.30,9.79
2021-03-31,41.9,$4.51,9.29
2020-12-31,36.0,$4.02,8.95
2020-09-30,24.35,$3.84,6.34
2020-06-30,25.59,$3.86,6.63
2020-03-31,28.13,$3.64,7.73
2019-12-31,40.81,$3.96,10.31
2019-09-30,36.31,$4.05,8.97
2019-06-30,38.81,$3.98,9.75
2019-03-31,35.46,$4.00,8.87
2018-12-31,34.67,$3.93,8.82
2018-09-30,40.34,$3.41,11.83
2018-06-30,42.05,$3.15,13.35
2018-03-31,38.62,$2.90,13.32
2017-12-31,37.96,$2.65,14.32
2017-09-30,40.51,$2.89,14.02
2017-06-30,36.23,$2.86,12.67
2017-03-31,34.4,$2.74,12.55
2016-12-31,38.82,$2.70,14.38
2016-09-30,27.67,$2.62,10.56
2016-06-30,25.85,$2.50,10.34
2016-03-31,25.2,$2.54,9.92
2015-12-31,26.43,$2.55,10.36
2015-09-30,25.5,$2.59,9.84
2015-06-30,25.95,$2.61,9.94
2015-03-31,24.89,$2.51,9.92
2014-12-31,25.95,$2.41,10.77
2014-09-30,21.14,$2.33,9.07
2014-06-30,23.34,$2.30,10.15
2014-03-31,23.6,$2.26,10.44
2013-12-31,23.26,$2.16,10.77
2013-09-30,19.5,$2.13,9.15
2013-06-30,17.55,$2.08,8.44
2013-03-31,16.7,$2.07,8.07
2012-12-31,15.9,$2.13,7.47
2012-09-30,15.73,$2.05,7.67
2012-06-30,14.47,$1.97,7.35
2012-03-31,14.19,$1.90,7.47
2011-12-31,13.9,$1.81,7.68
2011-09-30,11.41,$1.78,6.41
2011-06-30,13.1,$1.71,7.66
2011-03-31,13.42,$1.58,8.49
2010-12-31,12.25,$1.48,8.28
2010-09-30,10.6,$1.34,7.91
2010-06-30,9.35,$1.26,7.42
2010-03-31,10.11,$1.16,8.72
2009-12-31,8.36,$1.01,8.28
