U.S GoldMining PE Ratio Historical Data,U.S GoldMining PE Ratio Historical Data,U.S GoldMining PE Ratio Historical Data,U.S GoldMining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.17,,inf
2024-09-30,8.2,0.0,0.0
2024-06-30,6.34,0.0,0.0
2024-03-31,5.46,0.0,0.0
2023-12-31,7.31,0.0,0.0
2023-11-30,7.65,0.0,0.0
