Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.06,,23.98
2024-12-31,27.4,$1.17,23.42
2024-09-30,21.83,$1.14,19.15
2024-06-30,19.38,$1.10,17.61
2024-03-31,17.61,$1.10,16.01
2023-12-31,16.67,$1.07,15.58
2023-09-30,15.39,$1.10,14.0
2023-06-30,15.74,$1.11,14.18
2023-03-31,15.74,$1.13,13.93
2022-12-31,16.01,$1.12,14.29
2022-09-30,14.51,$1.10,13.19
2022-06-30,14.39,$1.07,13.45
2022-03-31,15.99,$0.45,35.53
2021-12-31,13.2,$0.78,16.93
2021-09-30,13.71,$0.77,17.8
2021-06-30,14.71,$0.75,19.61
2021-03-31,13.23,$0.81,16.33
2020-12-31,10.66,$0.05,213.21
2020-09-30,9.41,$0.05,188.16
2020-06-30,11.36,$0.07,162.34
2020-03-31,10.24,$0.58,17.66
2019-12-31,15.39,$0.96,16.03
2019-09-30,14.8,$0.90,16.45
2019-06-30,14.82,$0.99,14.97
2019-03-31,14.02,$0.68,20.62
2018-12-31,10.66,$0.66,16.15
2018-09-30,12.14,$-0.02,0.0
2018-06-30,11.97,$-0.18,0.0
2018-03-31,10.07,$0.05,201.47
2017-12-31,12.0,$0.01,1200.44
2017-09-30,12.65,$0.56,22.6
2017-06-30,12.56,$0.31,40.53
2017-03-31,14.17,$0.31,45.71
2016-12-31,13.42,$0.25,53.69
2016-09-30,14.9,$-0.12,0.0
2016-06-30,11.99,$0.06,199.75
2016-03-31,11.35,$0.06,189.24
2015-12-31,9.41,$0.16,58.8
2015-09-30,17.13,$0.53,32.33
2015-06-30,23.44,$0.77,30.44
2015-03-31,25.39,$0.89,28.53
2014-12-31,25.27,$0.95,26.6
2014-09-30,22.64,$1.20,18.86
2014-06-30,21.16,$1.15,18.4
2014-03-31,18.72,$1.15,16.28
2013-12-31,20.5,$1.15,17.82
2013-09-30,20.02,$1.14,17.56
2013-06-30,21.25,$1.04,20.43
2013-03-31,21.34,$0.62,34.42
2012-12-31,19.3,$0.35,55.14
2012-09-30,19.2,$0.23,83.5
2012-06-30,17.25,$0.25,69.01
2012-03-31,20.51,$0.57,35.98
2011-12-31,16.91,$0.68,24.87
