Holley PE Ratio Historical Data,Holley PE Ratio Historical Data,Holley PE Ratio Historical Data,Holley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.5,,20.83
2024-12-31,3.02,$0.12,25.17
2024-09-30,2.95,$0.13,22.69
2024-06-30,3.58,$0.19,18.84
2024-03-31,4.46,$0.16,27.88
2023-12-31,4.87,$0.17,28.65
2023-09-30,4.99,$0.03,166.33
2023-06-30,4.09,$0.29,14.1
2023-03-31,2.74,$0.53,5.17
2022-12-31,2.12,$0.64,3.31
2022-09-30,4.05,$0.61,6.64
2022-06-30,10.5,$0.06,175.0
2022-03-31,13.91,$-0.29,0.0
2021-12-31,12.99,$-0.44,0.0
2021-09-30,11.94,$-0.28,0.0
