Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.96,,3.28
2024-09-30,57.92,$12.18,4.76
2024-06-30,68.11,$12.84,5.3
2024-03-31,56.03,$14.14,3.96
2023-12-31,47.72,$14.86,3.21
2023-09-30,39.57,$15.88,2.49
2023-06-30,36.13,$15.51,2.33
2023-03-31,39.34,$11.96,3.29
2022-12-31,28.23,$6.65,4.25
2022-09-30,25.24,$1.23,20.52
2022-06-30,16.16,$-2.29,0.0
2022-03-31,12.68,$-6.95,0.0
2021-12-31,9.99,$-7.17,0.0
2021-09-30,13.31,$-8.17,0.0
2021-06-30,13.21,$-7.95,0.0
2021-03-31,12.74,$-1.23,0.0
2020-12-31,10.09,$2.55,3.96
2020-09-30,9.93,$6.58,1.51
2020-06-30,11.75,$7.34,1.6
2020-03-31,20.38,$4.05,5.03
2019-12-31,21.97,$1.30,16.9
2019-09-30,9.53,$-0.24,0.0
2019-06-30,9.38,$-0.24,0.0
2019-03-31,7.11,$-0.64,0.0
2018-12-31,6.8,$-1.60,0.0
2018-09-30,7.24,$-2.00,0.0
2018-06-30,8.58,$-2.40,0.0
2018-03-31,8.72,$-3.36,0.0
2017-12-31,10.01,$-2.64,0.0
2017-09-30,11.35,$-2.24,0.0
2017-06-30,12.92,$-1.52,0.0
2017-03-31,13.88,$1.36,10.2
2016-12-31,15.1,$3.20,4.72
2016-09-30,16.69,$5.60,2.98
2016-06-30,19.24,$8.24,2.34
2016-03-31,23.09,$10.16,2.27
2015-12-31,42.18,$10.88,3.88
2015-09-30,42.14,$9.92,4.25
2015-06-30,40.2,$8.08,4.98
2015-03-31,34.74,$5.44,6.39
2014-12-31,30.47,$5.20,5.86
2014-09-30,22.27,$4.80,4.64
2014-06-30,25.43,$2.88,8.83
2014-03-31,20.81,$1.92,10.84
2013-12-31,22.93,$-0.72,0.0
2013-09-30,15.12,$-36.24,0.0
2013-06-30,15.02,$-35.84,0.0
2013-03-31,16.09,$-35.68,0.0
2012-12-31,16.18,$-35.04,0.0
2012-09-30,20.7,$-0.96,0.0
2012-06-30,24.6,$-2.24,0.0
2012-03-31,31.55,$-1.68,0.0
2011-12-31,17.83,$-1.20,0.0
2011-09-30,22.56,$0.24,93.99
2011-06-30,44.71,$2.40,18.63
2011-03-31,48.44,$2.64,18.35
2010-12-31,55.99,$2.96,18.92
2010-09-30,57.57,$3.60,15.99
2010-06-30,48.01,$3.28,14.64
2010-03-31,52.47,$8.00,6.56
2009-12-31,34.7,$11.28,3.08
